© 2000-2018 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(B-H p-value)	Ratio	z-score	Molecules
CTLA4 Signaling in Cytotoxic T Lymphocytes	4.88E00	4.04E-01	NaN	CD247,B2M,PIK3CA,CD3E,HLA-A,PPP2R2A,PPP2CA,PIK3R1,PPP2R5B,AP1B1,JAK2,PIK3R4,CD8A,AP2A2,CTLA4,CD8B,CD28,AP1G2,AKT1,PIK3CG,IRS2,FRS2,ATM,PIK3C2B,AP2M1,AKT2,PTPN6,GRB2,AP1S2,CLTC,CD3D,AP2S1,PPP2R5A,AP1S1,CD3G,CLTA,SYK,PIK3CB,PPP2R5E,PTPN22
Estrogen Receptor Signaling	4.88E00	3.75E-01	NaN	POLR2F,POLR2D,CCNC,POLR2J,GTF2H2,KRAS,MNAT1,TAF13,G6PC3,SHC1,POLR2C,POLR2A,KAT2B,SOS1,MED10,GTF2H5,TAF2,MAP2K1,POLR2L,MED12L,TAF12,POLR2I,PRKDC,PELP1,NRAS,MED20,RRAS,GRB2,TAF5L,CDK7,PHB2,MED30,TBP,POLR2H,RBFOX2,ERCC2,MED6,NCOA3,TAF9B,POLR2G,TAF4B,HDAC3,H3F3A/H3F3B,TAF5,POLR2E,GTF2E1,GTF2H1,TAF15
Superpathway of Inositol Phosphate Compounds	4.75E00	3.19E-01	NaN	SOCS3,MINPP1,PLCB2,PTPN23,MTMR9,PIK3R1,PPP2R5B,IPPK,PIKFYVE,ACP1,IGBP1,PIK3R4,SACM1L,PTEN,PTPRC,CD28,PDCD1,PIK3CG,PPP1R13B,PGAM5,IP6K1,PRUNE1,DUSP11,IRS2,RNGTT,FRS2,PMPCA,ATM,PIK3C2B,PTPN6,PIP4P1,SEC16A,PPTC7,FIG4,PLPP6,SYNJ2,MTMR4,PI4K2A,DUSP1,PLCG2,PPM1H,ITPKC,SGPP1,INPP5K,PIK3CA,PPIP5K1,INPPL1,PPM1K,INPP5A,HACD2,PXYLP1,DUSP2,UBLCP1,MTMR6,SET,DUSP5,PTPRJ,PPM1F,PI4KB,INPP5E,GRB2,DOT1L,PP2D1,PPP4R1,NUDT15,PPP2R5A,DUSP14,PLD4,SYNJ1,NUDT16,PIK3CB,PPP2R5E,PPIP5K2,PTPN22,DUSP16
TNFR1 Signaling	4.14E00	4.8E-01	-3.128	MAP2K4,NAIP,PAK4,Naip1 (includes others),CASP3,MAP3K1,MAPK8,APAF1,TNFAIP3,IKBKE,TANK,NFKBID,FOS,PAK1,IKBKG,RIPK1,CASP2,PAK2,BID,CYCS,CHUK,NFKBIB,CASP7,BIRC2
NGF Signaling	4.06E00	3.64E-01	-6.172	MAP2K4,PIK3CA,PIK3R1,RPS6KA3,SMPD1,CRK,KRAS,PIK3R4,SHC1,IKBKG,AKT1,PIK3CG,SOS1,CREB1,TRAF4,RPS6KB2,IRS2,CHUK,FRS2,MAP2K1,MAP3K2,ATM,MAP3K9,PIK3C2B,RPS6KB1,AKT2,NRAS,RRAS,GRB2,MAP3K1,CREB3,MAPK8,IKBKE,RPS6KA5,BAX,RAP1A,ROCK1,MAP3K12,PRKCD,RHOA,PLCG2,PIK3CB,RPS6KA4,ELK1
Glucocorticoid Receptor Signaling	4.04E00	2.86E-01	NaN	POLR2F,TGFBR1,SGK1,PIK3R1,SMARCD2,GTF2E2,KRAS,MNAT1,PIK3CG,IRS2,NFKBIB,FRS2,ATM,POLR2I,PIK3C2B,AKT2,RRAS,CDK7,STAT3,TAF9B,HSPA8,TAF4B,POU2F1,TAF5,PRKACA,GTF2H1,NR3C2,PHF10,PIK3CA,POLR2J,JAK2,GTF2A2,KAT2B,AKT1,SOS1,CREB1,GTF2H5,IFNG,IL10,GRB2,ACTB,MAPK8,FOS,GTF2E1,CDKN1A,PTGS2,TAF15,MAP2K4,CD247,POLR2D,CD3E,NFATC3,Hspa1b,HSPA1A/HSPA1B,PIK3R4,HSPA5,TAF13,HSPA4,CXCL3,IKBKG,TGFB1,PPP3R1,PRKAA1,POLR2L,HSPA9,TBP,POLR2H,PPP3CC,ERCC2,NCOA3,CD3G,NFKBID,DUSP1,POLR2E,HSP90AA1,UBE2I,PBRM1,GTF2H2,PRKAG1,SHC1,POLR2A,POLR2C,PPP3CB,CHUK,TAF2,MAP2K1,ADRB2,TAF12,NRAS,TAF5L,MAP3K1,IKBKE,CD3D,POLR2G,PIK3CB,ELK1,HLTF
Small Cell Lung Cancer Signaling	4.03E00	4E-01	-2.711	PIK3CA,PA2G4,SUV39H1,PIK3R1,CDK4,PIK3R4,PTEN,IKBKG,AKT1,PIK3CG,TRAF4,BID,IRS2,CHUK,NFKBIB,FRS2,ATM,PIK3C2B,AKT2,CCNE2,TFDP1,GRB2,APAF1,IKBKE,SIN3A,NFKBID,PIAS3,CCNE1,PIK3CB,CYCS,PTGS2,CDKN1B,RXRA,BIRC2
Superpathway of Geranylgeranyldiphosphate Biosynthesis I (via Mevalonate)	3.93E00	7.06E-01	NaN	MVD,FDPS,ACAT2,PMVK,IDI1,COX10,MVK,HADHB,HMGCR,HMGCS1,HADHA,GGPS1
Prostate Cancer Signaling	3.93E00	3.81E-01	NaN	PIK3CA,PA2G4,SUV39H1,PIK3R1,KRAS,PIK3R4,PTEN,IKBKG,AKT1,PIK3CG,SOS1,CREB1,IRS2,GSK3B,CHUK,NFKBIB,MAP2K1,FRS2,ATM,PIK3C2B,AKT2,CCNE2,NRAS,TFDP1,RRAS,GRB2,CREB3,MDM2,SIN3A,NFKBID,CCNE1,CDKN1A,HSP90AA1,LEF1,PIK3CB,CDKN1B,GSTP1
PDGF Signaling	3.91E00	3.89E-01	-5.240	MAP2K4,PIK3CA,PIK3R1,SPHK2,ACP1,INPPL1,CRK,KRAS,JAK2,PIK3R4,SHC1,PIK3CG,SOS1,IRS2,CSNK2B,MAP2K1,FRS2,ATM,PIK3C2B,NRAS,RRAS,GRB2,CRKL,MAP3K1,MAPK8,STAT3,SYNJ2,FOS,CSNK2A2,SYNJ1,PLCG2,PIK3CB,INPP5K,EIF2AK2,ELK1
T Cell Receptor Signaling	3.87E00	3.67E-01	NaN	CD247,MAP2K4,PIK3CA,Calm1 (includes others),CD3E,NFATC3,PIK3R1,KRAS,CD8A,PIK3R4,CTLA4,CD8B,PTPRC,CD28,IKBKG,TXK,PPP3CB,PPP3R1,PIK3CG,SOS1,IRS2,CHUK,MAP2K1,FRS2,ITK,ATM,PIK3C2B,NRAS,RRAS,GRB2,MAP3K1,MAPK8,IKBKE,PPP3CC,CD3D,FOS,CD3G,BCL10,PIK3CB,ELK1
CD28 Signaling in T Helper Cells	3.87E00	3.48E-01	-5.096	CD247,MAP2K4,PIK3CA,Calm1 (includes others),ARPC1B,CD3E,HLA-A,NFATC3,PIK3R1,HLA-DQA1,HLA-DQB1,PIK3R4,CTLA4,PTPRC,CD28,PAK1,IKBKG,ACTR3,AKT1,PPP3CB,PPP3R1,PIK3CG,IRS2,CHUK,NFKBIB,MAP2K1,FRS2,ATM,ITK,PIK3C2B,AKT2,PTPN6,ARPC5L,GRB2,MAP3K1,MAPK8,IKBKE,PPP3CC,CD3D,CD3G,FOS,NFKBID,ARPC1A,BCL10,SYK,PIK3CB
DNA Methylation and Transcriptional Repression Signaling	3.82E00	5.29E-01	NaN	MECP2,CHD4,HIST2H4B,SAP30,MBD2,SIN3A,HIST1H4F,HIST1H4C,H3F3A/H3F3B,HIST1H4K,HIST1H4D,HIST1H4L,HIST1H4I,HIST1H4J,HIST1H4B,HIST1H4H,HIST2H4A,RBBP4
Role of NFAT in Regulation of the Immune Response	3.71E00	3.17E-01	-5.741	CD247,PLCB2,CD3E,NFATC3,PIK3R1,RACK1,KRAS,HLA-DQB1,PIK3R4,CABIN1,CD28,IKBKG,GNA15,PIK3CG,PPP3R1,IRS2,GSK3B,NFKBIB,FRS2,ITK,ATM,PIK3C2B,AKT2,RRAS,GNG2,PPP3CC,GNG10,NFKBID,CD3G,PLCG2,SYK,PIK3CA,Calm1 (includes others),HLA-A,GNA11,HLA-DQA1,FCGR2B,AKT1,PPP3CB,SOS1,CHUK,GNG5,MAP2K1,ORAI1,NRAS,FCGR2A,GRB2,GNA12,CSNK1G3,GNAQ,IKBKE,CD3D,RCAN1,GNAI3,FOS,MEF2D,MEF2C,ELP1,PIK3CB
B Cell Receptor Signaling	3.66E00	3.14E-01	-5.345	MAP2K4,RAP2B,NFATC3,PIK3R1,KRAS,BCL6,PIK3R4,PTEN,PTPRC,PAX5,IKBKG,CAMK2D,PIK3CG,PPP3R1,IRS2,GSK3B,NFKBIB,FRS2,MAP3K2,ATM,MAP3K9,PIK3C2B,RPS6KB1,PTPN6,AKT2,RRAS,CREB3,PPP3CC,RAP1A,SYNJ2,NFKBID,MAP3K12,PLCG2,SYK,INPP5K,PIK3CA,Calm1 (includes others),INPPL1,FCGR2B,SHC1,AKT1,PPP3CB,SOS1,CREB1,RPS6KB2,CHUK,MAP2K1,NRAS,FCGR2A,GRB2,EGR1,MAP3K1,MAPK8,IKBKE,DAPP1,SYNJ1,BCL10,MEF2C,PIK3CB,ELK1
EIF2 Signaling	3.6E00	3.03E-01	-4.323	RPL11,PIK3R1,KRAS,HSPA5,PIK3R4,EIF2A,VEGFA,RPS20,EIF3D,PIK3CG,PAIP1,RPL21,RPL19,IRS2,GSK3B,FRS2,ATM,EIF2AK1,PIK3C2B,AKT2,ATF3,RRAS,RPL7L1,EIF2B3,EIF2S3,EIF2S2,RPL15,EIF4A3,CDK11A,PPP1R15A,RPL10,RPS15A,RPL13A,RPL41,RPSA,EIF3K,EIF2AK4,PIK3CA,Rpl22l1,EIF2S1,EIF2B2,EIF4E,SHC1,RPL14,RPL35,AKT1,RPL18A,SOS1,RPS17,RPS3,MAP2K1,RPL31,NRAS,GRB2,ACTB,AGO2,RPL23,WARS,RPS15,RPS16,SREBF1,AGO3,PIK3CB,EIF2AK2,EIF3L,EIF1AX,RPS14
IL-3 Signaling	3.55E00	3.86E-01	-4.950	PIK3CA,PIK3R1,KRAS,JAK2,PIK3R4,SHC1,PAK1,AKT1,PPP3CB,PPP3R1,PIK3CG,SOS1,IRS2,FRS2,MAP2K1,PRKD3,ATM,PIK3C2B,PTPN6,AKT2,NRAS,IL3RA,RRAS,GRB2,CRKL,STAT3,PPP3CC,FOS,PRKCI,PRKCD,PIK3CB,ELK1
Superpathway of D-myo-inositol (1,4,5)-trisphosphate Metabolism	3.52E00	5.83E-01	NaN	SYNJ2,MINPP1,IMPA1,SYNJ1,IMPAD1,INPP5E,SEC16A,ITPKC,IMPA2,INPPL1,INPP5K,INPP5A,PMPCA,PTEN
Insulin Receptor Signaling	3.52E00	3.33E-01	-2.832	FOXO4,SOCS3,TSC1,PIK3CA,SGK1,TRIP10,PIK3R1,KRAS,INPPL1,CRK,JAK2,NCK1,PIK3R4,EIF2B2,PRKAG1,EIF4E,PTEN,SHC1,AKT1,PDE3B,PIK3CG,SOS1,RPS6KB2,IRS2,GSK3B,MAP2K1,FRS2,ATM,PIK3C2B,RPS6KB1,AKT2,NRAS,RRAS,GRB2,CRKL,PRKAR2A,MAPK8,EIF2B3,PPP1R11,ACLY,SYNJ2,RHOQ,PRKCI,SYNJ1,PRKACA,PIK3CB,INPP5K
Chronic Myeloid Leukemia Signaling	3.52E00	3.58E-01	NaN	PIK3CA,TGFBR1,PA2G4,SUV39H1,PIK3R1,CDK4,CRK,KRAS,PIK3R4,E2F3,HDAC6,IKBKG,AKT1,TGFB1,PIK3CG,HDAC11,SOS1,IRS2,CHUK,FRS2,MAP2K1,E2F2,ATM,PIK3C2B,AKT2,RBL2,NRAS,TFDP1,RRAS,GRB2,CRKL,IKBKE,MDM2,SIN3A,HDAC3,CDKN1A,PIK3CB,CDKN1B
Glioma Signaling	3.5E00	3.51E-01	-3.922	PIK3CA,Calm1 (includes others),PA2G4,IDH3G,SUV39H1,PIK3R1,CDK4,KRAS,PIK3R4,E2F3,PTEN,SHC1,CAMK2D,AKT1,PIK3CG,SOS1,IRS2,FRS2,MAP2K1,PRKD3,E2F2,IDH3B,ATM,PIK3C2B,AKT2,RBL2,NRAS,TFDP1,RRAS,GRB2,MDM2,SIN3A,IGF2,CDKN2D,PRKCI,PRKCD,PLCG2,CDKN1A,IDH2,PIK3CB
Cell Cycle Control of Chromosomal Replication	3.44E00	4.29E-01	NaN	CDC45,ORC2,CDT1,POLA1,CDK7,CDC7,DNA2,CDK4,POLD1,CDK10,MCM4,RPA2,MCM3,CDK15,RPA3,CDK5,ORC3,CDK11A,POLA2,CDK19,PRIM2,ORC4,DBF4,ORC1
Erythropoietin Signaling	3.44E00	3.83E-01	NaN	SOCS3,PIK3CA,PIK3R1,KRAS,JAK2,PIK3R4,SHC1,IKBKG,AKT1,PIK3CG,SOS1,IRS2,NFKBIB,FRS2,MAP2K1,PRKD3,ATM,RPS6KB1,PIK3C2B,PTPN6,AKT2,NRAS,RRAS,GRB2,FOS,NFKBID,PRKCI,PRKCD,PLCG2,PIK3CB,ELK1
Isoleucine Degradation I	3.44E00	7.14E-01	NaN	HSD17B10,ECHS1,ACAT2,BCAT2,AUH,HADHB,DLD,ACADSB,EHHADH,HADHA
Breast Cancer Regulation by Stathmin1	3.38E00	3.02E-01	NaN	TUBA1B,PLCB2,PPP2CA,PIK3R1,RACK1,PPP2R5B,KRAS,TUBB,PIK3R4,PAK1,CAMK2D,PIK3CG,TUBA1C,ARHGEF11,IRS2,PRKD3,FRS2,E2F2,ATM,PIK3C2B,CCNE2,ARHGEF4,RRAS,GNG2,PPP1R11,GNG10,RHOA,PRKCD,ARHGEF6,PRKACA,UHMK1,ARHGEF10,PIK3CA,Calm1 (includes others),PPP2R2A,ARHGEF7,E2F3,PRKAG1,SHC1,SOS1,TUBB4A,GNG5,MAP2K1,NRAS,ARHGEF12,GRB2,TUBG1,PRKAR2A,GNAQ,TUBA4A,PPP2R5A,ROCK1,GNAI3,ARHGEF5,CCNE1,TUBA1A,PRKCI,CDKN1A,PIK3CB,CDKN1B,PPP2R5E,ADCY7
Ceramide Signaling	3.37E00	3.66E-01	-1.414	MAP2K4,PIK3CA,PPP2R2A,PPP2CA,PIK3R1,SPHK2,PPP2R5B,KRAS,SMPD1,PIK3R4,DIABLO,AKT1,PIK3CG,IRS2,TNFRSF1B,NSMAF,MAP2K1,FRS2,ATM,PIK3C2B,AKT2,NRAS,RRAS,GRB2,MAP3K1,MAPK8,CERK,PPP2R5A,S1PR4,FOS,S1PR1,PIK3CB,CYCS,PPP2R5E
Pancreatic Adenocarcinoma Signaling	3.37E00	3.42E-01	-4.426	MAP2K4,PLD2,PIK3CA,RALA,TGFBR1,PA2G4,SUV39H1,PIK3R1,CDK4,VEGFB,KRAS,JAK2,PIK3R4,E2F3,RAD51,VEGFA,HMOX1,AKT1,TGFB1,PIK3CG,IRS2,FRS2,MAP2K1,E2F2,ATM,PIK3C2B,AKT2,TFDP1,GRB2,MAPK8,MDM2,STAT3,SIN3A,PLD4,CCNE1,CDKN1A,BRCA2,PIK3CB,PTGS2,CDKN1B,ELK1
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	3.37E00	3.26E-01	NaN	SOCS3,MINPP1,PTPN23,MTMR9,PPP2R5B,PIKFYVE,ACP1,PPIP5K1,IGBP1,HACD2,PPM1K,UBLCP1,DUSP2,PXYLP1,PTEN,SACM1L,PTPRC,MTMR6,SET,DUSP5,PTPRJ,PDCD1,PPP1R13B,PGAM5,PRUNE1,DUSP11,PPM1F,RNGTT,PTPN6,DOT1L,PP2D1,PPTC7,FIG4,PPP4R1,NUDT15,PPP2R5A,DUSP14,PLPP6,MTMR4,SYNJ1,DUSP1,NUDT16,PPM1H,SGPP1,PPP2R5E,PTPN22,DUSP16
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	3.37E00	3.26E-01	NaN	SOCS3,MINPP1,PTPN23,MTMR9,PPP2R5B,PIKFYVE,ACP1,PPIP5K1,IGBP1,HACD2,PPM1K,UBLCP1,DUSP2,PXYLP1,PTEN,SACM1L,PTPRC,MTMR6,SET,DUSP5,PTPRJ,PDCD1,PPP1R13B,PGAM5,PRUNE1,DUSP11,PPM1F,RNGTT,PTPN6,DOT1L,PP2D1,PPTC7,FIG4,PPP4R1,NUDT15,PPP2R5A,DUSP14,PLPP6,MTMR4,SYNJ1,DUSP1,NUDT16,PPM1H,SGPP1,PPP2R5E,PTPN22,DUSP16
Superpathway of Cholesterol Biosynthesis	3.36E00	5.36E-01	NaN	MVD,ACAT2,PMVK,IDI1,MVK,MSMO1,SC5D,GGPS1,FDPS,DHCR24,HADHB,HMGCR,HMGCS1,CYP51A1,HADHA
PI3K/AKT Signaling	3.31E00	3.36E-01	-2.030	TSC1,PIK3CA,PPP2R2A,PPP2CA,PIK3R1,PPP2R5B,ILK,KRAS,INPPL1,JAK2,EIF4E,PTEN,SHC1,IKBKG,AKT1,PIK3CG,SOS1,RPS6KB2,CHUK,GSK3B,NFKBIB,MAP2K1,RPS6KB1,AKT2,NRAS,YWHAG,RRAS,GRB2,IKBKE,MDM2,PPP2R5A,SYNJ2,NFKBID,SYNJ1,LIMS1,CDKN1A,HSP90AA1,PIK3CB,PTGS2,CDKN1B,PPP2R5E,INPP5K
Renal Cell Carcinoma Signaling	3.3E00	3.73E-01	-4.379	PIK3CA,PIK3R1,Ubb,CRK,KRAS,PIK3R4,ELOC,VEGFA,PAK1,AKT1,TGFB1,PIK3CG,SOS1,IRS2,FRS2,MAP2K1,ATM,PIK3C2B,PAK4,AKT2,NRAS,SLC2A1,RRAS,GRB2,RAP1A,FOS,PAK2,PIK3CB,UBC,FH,VHL
JAK/Stat Signaling	3.3E00	3.73E-01	-2.335	SOCS3,PIK3CA,PIAS2,PIK3R1,SOCS6,PIAS1,KRAS,JAK2,PIK3R4,SHC1,AKT1,PIK3CG,SOS1,IRS2,FRS2,MAP2K1,ATM,PIK3C2B,AKT2,PTPN6,NRAS,RRAS,GRB2,GNAQ,STAT3,STAT4,FOS,PIAS3,CDKN1A,PIK3CB,STAT2
NF-κB Activation by Viruses	3.29E00	3.68E-01	-5.209	PIK3CA,CCR5,PIK3R1,KRAS,PIK3R4,IKBKG,AKT1,PIK3CG,ITGAV,IRS2,CHUK,NFKBIB,FRS2,PRKD3,ATM,PIK3C2B,AKT2,NRAS,RRAS,GRB2,MAP3K1,TBP,IKBKE,TNFRSF14,NFKBID,PRKCI,RIPK1,PRKCD,ELP1,ITGA1,PIK3CB,EIF2AK2
