© 2000-2018 QIAGEN. All rights reserved.

Upstream Regulator	Expr Fold Change	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target molecules in dataset	Mechanistic Network	
SIM1	 	transcription regulator	Inhibited	-2.034	bias	2.47E-02	ALAS2,CHRM4,CHRNE,DNASE1,EGR1,FHIT,GALNT4,HLA-A,KLK3,LCAT,MYCL,SELENBP1,SNN,TNF,TSSK2,ZFP36L1	 	
SPI1	-1.854	transcription regulator	Inhibited	-2.952	bias	1.40E-04	BCL11A,BLNK,CD19,CD79A,CIITA,CSF2RB,CSF3R,EBF1,ETS2,FCGRT,FES,FOS,HSPA8,ID3,IFIT1B,IL18,IL1R2,IRAK3,KLF4,KLK3,Klra7 (includes others),LILRB3,TNF	230 (16)	
HSD11B1	-1.011	enzyme	Inhibited	-2.000	 	5.48E-02	CALCB,LIPE,NR1H3,TNF	 	
SOCS1	1.760	other	Inhibited	-2.772	bias	1.83E-04	CD40,CD69,CIITA,DUSP1,FOS,GBP6,IFIT1B,IFNG,IL15,IL4R,IRS1,IRS2,ISG20,OAS1,SOCS3,TNF	239 (16)	
NKX2-3	 	transcription regulator	Inhibited	-2.309	 	2.49E-01	CENPW,CSRNP1,F2RL3,GCH1,HELZ2,HLA-F,KLF4,MCTP1,RTP4,SLC40A1,TNFSF18,TNFSF4	 	
CD38	1.160	enzyme	Inhibited	-2.373	bias	5.04E-04	APH1A,BNIP3,CKAP4,CSF2RB,DRC1,ENDOG,GALK1,GSTT2/GSTT2B,HEPACAM2,IL1R2,JCHAIN,NABP1,NFIL3,PAX5,PRDX4,SOCS3,TUBB2B	 	
PAX5	-67.717	transcription regulator	Inhibited	-2.553	 	5.67E-05	BLK,BLNK,CD19,CD40,CD79A,CIITA,CR2,JCHAIN,POU2AF1	 	
TCF3	-1.029	transcription regulator	Inhibited	-2.784	 	6.24E-03	ADA,ATF3,BLNK,CD79A,CDH1,CDKN2A,CELA1,CKAP4,CR2,EBF1,ETS2,FGD2,GADD45B,ID3,KLF4,MZB1,NFIL3,NR4A3,PAX5,POU2AF1,PRDX4,SCN4A,SOCS3,TNF,ZBP1	169 (9)	
AKT2	2.640	kinase	Inhibited	-2.586	 	1.05E-03	CDH1,ESR1,IFNG,IGF1R,MMP9,PALLD,PPARG,TNF	268 (22)	
SOCS3	10.753	phosphatase	Inhibited	-2.865	bias	1.38E-05	ATF3,CD40,CTLA4,EGR1,FOS,IFNG,IL4R,IRS1,IRS2,ISG20,OAS1,SCD,SOCS3,TNF	228 (22)	
NR1I2	 	ligand-dependent nuclear receptor	Inhibited	-2.687	 	6.84E-02	Abcb1b,AHR,Ces2c,GSTM5,IFNG,MT-CO2,MTTP,PPARG,SCD,SERPIND1,TNF	 	
NFIL3	16.003	transcription regulator	Inhibited	-2.236	 	5.78E-03	BATF3,GADD45B,IFNG,SCD,TNF	235 (17)	
KMT2D	1.468	transcription regulator	Inhibited	-3.208	bias	2.12E-02	ADGRA2,CCDC138,CKAP4,DUSP2,FABP3,FAH,GALK1,GK5,NEU3,Nmnat3,PPARG,RIMBP3 (includes others),Rsl1 (includes others),ZNF23	 	
MNT	1.126	transcription regulator	Inhibited	-2.000	bias	1.11E-03	GADD45B,IFNG,KLF6,ODC1,TNF	 	
FOSL1	-2.363	transcription regulator	Inhibited	-2.745	 	1.44E-02	CDKN2A,EGR1,FOS,FOSB,HPGD,JUNB,MMP9,TNF	 	
LYN	2.332	kinase	Inhibited	-2.401	 	8.89E-03	CD19,CD40,CD80,CDKN2A,CR2,EGR1,IFNG,SOCS3,TNF	206 (18)	
POU2F2	-3.025	transcription regulator	Inhibited	-2.887	bias	6.09E-04	ADA,BANK1,CD69,EBF1,FCRL1,GATM,GEN1,LRRC32,PFKFB4,RYR1,SCD,TIMP2	 	
paraquat	 	chemical toxicant	Inhibited	-2.554	bias	3.74E-05	BNIP3,CACNA1E,CCDC88A,CEP290,DGKI,KCNA2,KLF6,LRP4,MARCH9,MMP9,NR4A1,PLCE1,SLC7A11,SNCA,UTP14C,VEGFA	147 (7)	
prazosin	 	chemical drug	Inhibited	-2.000	bias	1.91E-03	DUSP1,EGR1,FOS,NR4A1	179 (15)	
PD98059	 	chemical - kinase inhibitor	Inhibited	-2.036	bias	1.62E-07	AMD1,ANPEP,ANXA1,ATF3,BNIP3,C3,CD40,CD69,CDH1,CDKN2A,CREM,CXCR4,CYP17A1,DUSP1,DUSP5,EEF1A1,EGR1,EGR3,ERBB2,FAH,FOS,FOSB,GP1BA,HPGD,HSPA5,ID3,IFNG,IGF1R,ITGA2B,JUNB,LAD1,MMP9,MYBL2,NR4A1,ODC1,PER1,PLA2G4A,PPARG,PPP1R15A,RGS1,SELENBP1,SLC38A2,SLC3A2,SOCS3,STOM,TEAD2,TIMP2,TNF,VCAN,VEGFA,ZFP36L1,ZFP36L2	258 (23)	
SU6656	 	chemical toxicant	Inhibited	-2.975	bias	1.45E-05	ATF3,EGR1,ETS2,JUNB,NFIL3,NR4A2,SOCS3,VEGFA,ZFP36L1	252 (23)	
CGS 21680	 	chemical reagent	Inhibited	-2.781	bias	2.42E-04	CD69,EGR1,EGR3,FOS,IFNG,RGS2,TNF,VEGFA	236 (21)	
ibuprofen	 	chemical drug	Inhibited	-2.156	bias	3.56E-02	MAGI1,MMP9,PPARG,TNF,VEGFA	 	
trichostatin A	 	chemical drug	Inhibited	-2.877	bias	3.53E-03	C8orf44-SGK3/SGK3,CCR3,CDC42BPG,CDH1,CDKN2A,CIITA,COL11A2,CREM,CSF3R,CXCR4,DNASE1L3,DUSP1,ENPP2,ERBB2,ESR1,FOS,FOSL2,HBA1/HBA2,HBB,HSPA5,ID3,IFNG,JCHAIN,KIF20A,KLK3,LIMA1,MMP9,NR1H3,PAX5,PENK,PGAM2,PLCE1,PPARG,PRNP,RARB,TGM1,TIMP2,TNF,TRADD,TTC39A,VEGFA	285 (19)	
sulforafan	 	chemical drug	Inhibited	-2.371	 	5.49E-02	ABCG2,FOS,GSTM5,IFNG,LIPE,MMP9,PHKA1,SOCS3,TNF,VEGFA	 	
actinonin	 	chemical reagent	Inhibited	-2.000	bias	2.58E-03	MT-ATP6,MT-CO1,MT-CO2,MT-CYB	 	
U0126	 	chemical - kinase inhibitor	Inhibited	-2.009	bias	8.07E-08	ABCG2,ATF3,BHLHE40,C3,CACNB3,CD200,CD274,CD69,CDH1,CHGB,CIITA,DUSP1,DUSP5,EEF1A1,EGR1,EGR3,EHF,ENPP2,ESR1,FOS,FOSB,GADD45B,GP1BA,GRK3,HPGD,HSF4,HSPA5,IFNG,IFT88,IL1R2,ITGA2B,ITGA3,JUNB,KDM6B,KLK3,MMP9,NR4A1,NR4A2,NR4A3,PER1,PLA2G4A,PLK2,PPARG,SOCS3,TIMP2,TNF,UBC,UTP14C,VEGFA	269 (16)	
methotrexate	 	chemical drug	Inhibited	-2.132	 	2.13E-02	AMD1,C3,C6,CDH1,CLN8,CR2,DUSP1,HBA1/HBA2,IFNG,IL18,LY96,NR4A2,SCD,SOCS3,TNF,TTR,ZFP14,ZFP36L1	 	
bexarotene	 	chemical drug	Inhibited	-2.495	bias	1.11E-02	DUSP1,DUSP5,EGR3,GPM6B,IL15,LRP4,MAFF,MMP9,NR4A2,ODC1,PNRC1,PPARG,RARB,SCD,SLC27A1,SRSF2	 	
flutamide	 	chemical drug	Inhibited	-2.200	 	2.33E-02	ALAS2,CYP17A1,ESR1,FOS,NR4A1,ODC1,TNF	 	
nimodipine	 	chemical drug	Inhibited	-2.236	bias	3.32E-04	FOS,NR4A1,NR4A2,ODC1,TNF	244 (19)	
bisindolylmaleimide	 	chemical - kinase inhibitor	Inhibited	-2.236	bias	4.88E-03	CHGB,EGR1,FOS,NR4A1,TNF	220 (24)	
genistein	 	chemical drug	Inhibited	-2.251	 	3.48E-04	ATP6V0D2,C3,CD80,DNASE1L3,DUSP1,ERBB2,ESR1,EXTL2,FCMR,Fcna,FOS,HLA-A,HPGD,HSPA1A/HSPA1B,HSPA5,IGF1R,JUNB,KLK3,LAPTM4B,MMP9,MTTP,NDST2,NR1H3,PER1,PFKFB4,PLA2G7,PLK3,PPARG,SIGLEC10,SLC11A1,SLC26A6,TNF,VEGFA	270 (23)	
targinine	 	chemical drug	Inhibited	-2.077	 	1.39E-03	CD8A,FOS,IFNG,MMP9,TNF,VEGFA	246 (20)	
2-amino-5-phosphonovaleric acid	 	chemical - other	Inhibited	-3.597	 	3.95E-06	BBS12,CAMKK1,CCDC28A,DUSP1,EGR1,EGR3,ELP6,FOS,FOSB,GADD45B,JUNB,KCNK6,MLST8,MYCL,NR4A1,NR4A2,NR4A3,PLK3,RGS2,TNFAIP3	236 (16)	
leukotriene D4	 	chemical - endogenous mammalian	Activated	3.081	bias	5.30E-07	ATF3,CDH1,CREM,DUSP1,EGR1,EGR3,FOSL2,KLF4,NR4A1,NR4A2,NR4A3,RGS2,TNF	244 (21)	
E. coli B5 lipopolysaccharide	 	chemical - endogenous non-mammalian	Activated	2.028	bias	4.50E-07	BHLHE40,CCR8,CD274,CD40,CD69,CSF3R,CTLA4,CXCR4,DNAJB2,DUSP1,EEF1A1,ETS2,FOS,HLA-A,IFNG,IL13RA1,IL15,IL18,IL1R2,IRAK3,ISG20,JUNB,PAX5,PSTK,SELENBP1,SOCS3,TGIF1,TNF,TNFAIP3,TTR,VEGFA	183 (15)	
beta-estradiol	 	chemical - endogenous mammalian	Activated	2.079	 	6.63E-07	ABCG2,ADAMDEC1,AHR,AIF1,ANPEP,ANXA1,ATF3,ATF5,BCAT1,BHLHE40,BLNK,C3,C8orf44-SGK3/SGK3,CACNB1,CALCB,CCR3,CD274,CD40,CD69,CDH1,CHGB,CHRM3,CLEC1B,COA4,COX6A2,CREM,CSF3R,CTLA4,CXCR4,CYP17A1,DLG2,DSCAM,DSP,DUSP1,EGR1,EGR3,ENPP2,EPHA1,ERBB2,ESR1,FABP3,FCGRT,FOS,FOSB,FOSL2,GAB2,GADD45B,GCH1,GP2,GUCY1A3,HBB,HLA-A,HPGD,Hspa1b,HSPA5,HSPA8,IFIT1B,IFNG,IGF1R,IL15,IL18,IL1R2,IL4R,INPP4B,IRF6,IRS1,IRS2,JAG1,JUNB,KLF4,KLF6,KLK3,KYNU,LGALS4,LIMA1,MATN2,MMP9,MT-CO1,MT-CO2,MTTP,MYBL2,NAMPT,NME3,NR1H3,NR4A1,NR4A3,NUCB2,ODC1,PENK,PIK3R3,PLA2G4A,PLK2,PPARG,PTK2,PYGL,RARB,RGS1,RGS2,RP2,RTP4,SELENBP1,SLC38A2,SLC3A2,SLPI,SNN,SOCS3,SRSF2,STON1,SUSD2,TFPI,TIMP2,TJP1,TMIE,TNF,TNFAIP3,TNFSF13B,TTC39A,TTR,VCAN,VEGFA,VIPR1,ZFP36L2	337 (20)	
chenodeoxycholic acid	 	chemical - endogenous mammalian	Activated	2.036	 	2.89E-02	Ces2c,EGR1,ERBB2,HPGD,MMP9,MTTP,RARB,TNF	 	
prednisolone	 	chemical drug	Activated	2.556	bias	1.12E-03	BCL2L2,BNIP3,CALCB,CDKN2A,CXCR4,DUSP1,ESR1,HSP90AA1,HSPA8,IFNG,IRS2,ISG20,KIF9,NFIL3,NOXO1,PPCDC,PRNP,SNCA,TNF,TNFAIP3,ZFP36L2	262 (17)	
TCR	 	complex	Activated	2.725	bias	1.57E-04	BCAT1,CCR3,CCR8,CD200,CD69,CDH1,CTLA4,CXCR4,EGR1,F5,FOS,GADD45B,HSPA5,ID3,IFNG,IL4R,ISG20,JUNB,Klra7 (includes others),KLRG1,NR4A1,OAS1,ODC1,PIK3R3,RPL13A,RPL18A,RPSA,SKIL,SOCS3,TNF,TNFAIP3,TNFSF13B	265 (18)	
Mapk	 	group	Activated	2.075	bias	1.96E-04	ADA,EGR1,ESR1,FOS,HPGD,IFNG,IRAK3,IRS1,JUNB,MMP9,NR4A3,PER1,TNF,VEGFA	250 (22)	
PDGF BB	 	complex	Activated	3.601	bias	9.27E-08	Abcb1b,ATF3,BHLHE40,C3,CBX4,CSRP2,DUSP1,DUSP5,EGR1,EGR3,ETS2,FOS,FOSB,ID3,IGF1R,JUNB,KLF6,MGST2,MMP9,MYBL2,NAMPT,NFIL3,NR4A1,NR4A2,NR4A3,ODC1,PLK2,PPARG,PPP1R15A,RGS1,RGS2,SCD,SOCS3,TNFAIP3,VCAN,VEGFA,ZFP36L1	235 (21)	
ALKBH1	 	enzyme	Activated	2.000	bias	2.23E-04	MT-ATP6,MT-CO1,MT-CO2,MT-CYB	 	
NSUN3	1.320	enzyme	Activated	2.000	bias	2.23E-04	MT-ATP6,MT-CO1,MT-CO2,MT-CYB	 	
FOXL2	 	transcription regulator	Activated	2.456	bias	2.02E-03	ATF3,CDKN2A,CYP17A1,FOS,MAFF,NR4A3,PPP1R15A,RGS2,TNFAIP3	131 (7)	
MKL2	1.270	transcription regulator	Activated	2.000	bias	1.20E-02	CXCR4,GP1BA,GSTM5,HLA-A,MGST2,PRG3,RAB27B,SLPI,TUBB1	 	
gentamicin	 	chemical drug	Activated	3.445	 	1.20E-03	Abcb1b,ATF3,CNKSR3,CSRP2,DNASE1,EEF1A1,EGR1,ENPP2,GATM,GSTM5,HBB,HSP90AA1,HSPA1A/HSPA1B,HSPA5,JUNB,KLF6,KMO,KYNU,Sult1a1,TNF,TTR,ZFP36L1	138 (7)	
bee venom	 	chemical - endogenous non-mammalian	Activated	2.192	 	8.26E-05	CREM,ETS2,FOSB,JUNB,KLF4,NFIL3,NR4A2,PPP1R15A,RGS1,RGS2,SLC7A11,SOCS3,TNF,TNFAIP3	196 (10)	
DDX58	2.013	enzyme	Activated	2.392	bias	3.80E-02	IFIT1B,ISG20,KLF4,OAS1,SOCS3,TNF	 	
MAVS	2.498	other	Activated	2.321	bias	4.04E-03	IFIT1B,IFNG,ISG20,Klra7 (includes others),KLRG1,OAS1,SOCS3,TNF	171 (16)	
TLR7	-2.645	transmembrane receptor	Activated	2.157	bias	1.34E-02	ATF3,CD274,CD40,CD69,CD80,ETS2,FCMR,IFIT1B,IFNG,ISG20,JUNB,TNF,TNFAIP3	 	
IL12 (family)	 	group	Activated	2.729	bias	1.46E-02	ATF3,CD274,CD69,CD80,ENPP2,FCGR3A/FCGR3B,FOSL2,IFNG,NFIL3,NFKBIZ,TNF	 	
EIF2AK3	3.292	kinase	Activated	2.048	bias	2.17E-04	ATF3,ATF5,CBX4,DNASE1,EGR1,ETS2,GCH1,HSPA5,KLF4,NFIL3,PPP1R15A,TBCE,TNF,VEGFA	234 (22)	
Immunoglobulin	 	complex	Activated	2.031	 	2.60E-08	AIF1,ALAS2,ANPEP,CD274,CD69,CD80,CDH1,CIITA,CSF2RB,DUSP1,DYSF,EGR1,ETS2,FCGR3A/FCGR3B,FOS,FOSB,IFNG,IL4R,JCHAIN,KLF4,LILRB3,MAFF,MMP9,MZB1,NAMPT,NFIL3,PAX5,RGS2,SLC11A1,TLR8,TNF,VCAN	218 (16)	
CSF1	1.780	cytokine	Activated	2.003	bias	2.32E-04	CYP17A1,DUSP1,DUSP5,EGR1,EGR3,ETS2,FCGR3A/FCGR3B,FOS,HSPA5,IFNG,IGF1R,IL18,JUNB,MARCO,MMP9,PPARG,SLFN12L,TNF,TNFAIP3,VEGFA	214 (19)	
CREM	15.143	transcription regulator	Activated	2.145	 	2.07E-07	ATF3,BHLHE40,C7orf31,CD8A,CREM,CSRNP1,DUSP1,EGR1,FOS,GADD45B,IFNG,IRS2,JUNB,NFIL3,NFKBID,NR4A1,NR4A2,PER1,PPP1R15A,RARB,Sik1,TNF,VEGFA	262 (20)	
LEP	 	growth factor	Activated	2.160	bias	4.78E-02	CD40,CDH1,CENPX,CYP17A1,EGR1,ERBB2,ESR1,FABP3,FOS,HSPA5,IFNG,IFT88,IL1R2,IRS1,IRS2,JUNB,KCNB1,LIPE,MT-CYB,NAMPT,PPARG,SC5D,SCD,SLC27A1,SOCS3,TNF,VEGFA	 	
CAMK4	1.154	kinase	Activated	2.391	bias	9.18E-07	ATF3,CDKN2A,CREM,FOS,FOSB,FOSL2,IFNG,JUNB,MT-CYB,TNF	266 (19)	
miR-30c-5p (and other miRNAs w/seed GUAAACA)	 	mature microrna	Activated	2.138	bias	3.21E-04	ACVR1,ANPEP,CEP72,CPNE8,DOCK7,IRS2,MTTP,PEX11B,PPARG,PTRH1,RAB27B,SLC38A2,SLC7A11,TNF	 	
NUPR1	 	transcription regulator	Activated	3.618	 	1.13E-04	ALG8,ANGEL1,AS3MT,ATF3,BNIP3,CTU1,CXCR4,DPYSL5,DUSP5,EXTL2,FAM114A1,GAB2,GCH1,GCNT2,GTSE1,IGF1R,IL13RA1,IPP,IRS2,KIF20A,KLF4,KLF6,MAGI1,NCKIPSD,NFIL3,PFKFB4,PLK3,PPFIBP2,PPP1R15A,PRNP,RFTN2,SAMD4A,SHPK,SPIN4,TMEM19,TSC22D2,ZBTB34,ZDHHC13,ZFAND2A,ZFP36L1,ZNF296	194 (7)	
CREB1	1.424	transcription regulator	Activated	2.966	 	1.78E-07	ATF3,ATF5,BHLHE40,BNIP3,CALCB,CD79A,CDK14,CHGB,CIITA,CR2,CREM,CSRNP1,CSRP2,CXCR4,DUSP1,EGR1,FOS,FOSB,GADD45B,GPR63,GPR83,HLA-A,HPGD,HSPA5,IFNG,IRS2,JUNB,KLF4,LAPTM4B,LMO1,MCAM,MCTP1,MFSD2A,MYBL2,NFIL3,NFKBID,NR4A1,NR4A2,NR4A3,OXNAD1,PENK,PER1,PLA2G4A,PPARG,PPP1R15A,RGS2,S1PR3,SCD,Sik1,SRXN1,TGIF1,TNF,VEGFA	269 (19)	
CBX5	2.154	transcription regulator	Activated	2.530	bias	1.37E-02	BCL11A,CDH17,CEACAM1,HBB,KLK3,OAS1,PPARG,PPFIBP2,QPRT,SELENBP1,SERP2	 	
GH1	 	growth factor	Activated	2.238	 	1.22E-02	ACVR1,ATF3,CD19,CXCR4,EGR1,FOS,ID3,IGF1R,IL4R,JUNB,SOCS3	 	
CD40LG	-1.450	cytokine	Activated	2.003	bias	1.93E-07	AHR,ARMC6,ATF3,ATF5,BATF3,BNIP3,CD40,CD69,CD80,CD8A,CFP,CIITA,CXCR4,DUSP1,DUSP2,DUSP5,EGR1,FOS,FOSB,FOSL2,FSCN1,GCH1,HSP90AA1,HSPA1A/HSPA1B,ID3,IFNG,IL13RA1,IL15,JUNB,NAMPT,NR4A3,RGS1,RGS2,SSSCA1,TGIF1,TNF,TNFAIP3,TNFSF4,TRADD,VEGFA,ZFP36L1	233 (15)	
ERN1	2.257	kinase	Activated	2.217	bias	1.93E-02	ATF3,CDH1,FITM2,HSPA5,LAD1,NR1H3,PPARG,SCD,TENM1,TNF,VEGFA	 	
INS	 	other	Activated	2.094	 	2.52E-06	CDH1,CYP17A1,DUSP1,EGR1,FOS,FOSB,FOSL2,HSPA5,IGF1R,IRS1,IRS2,JUNB,NR1H3,NR4A1,PLK2,PPARG,RARB,SCD,SNCA,TNF,VEGFA	297 (23)	
CD86	1.508	transmembrane receptor	Activated	2.828	 	9.08E-04	BCL2L2,CD40,CD69,CD80,CTLA4,IFNG,TNF,TNFAIP3	231 (15)	
KIDINS220	2.934	transcription regulator	Activated	2.000	bias	1.77E-05	CD69,EGR1,FOS,IFNG	189 (11)	
PTH	 	other	Activated	2.394	bias	1.22E-03	BHLHE40,CREM,CXCR4,DUSP1,FOS,FOSB,FOSL2,KL,LIMA1,NFIL3,NR4A1,NR4A2,ODC1,RGS1,RGS2,SOCS3	203 (17)	
IKBKG	1.662	kinase	Activated	2.050	bias	6.03E-03	C3,ENPP2,FOS,GCH1,HLA-A,IFIT1B,JUNB,PPARG,SLC16A2,SOCS3,TNF,TNFAIP3,VEGFA	252 (12)	
DAP3	4.297	other	Activated	2.000	bias	1.91E-03	MT-ATP6,MT-CO1,MT-CO2,MT-CYB	 	
RELA	1.529	transcription regulator	Activated	2.860	bias	2.11E-08	Abcb1b,ABCG2,AHR,BHLHE40,C3,CD274,CD40,CD69,CD80,CDKN2A,CIITA,CR2,CXCR4,CYP17A1,DUSP1,EGR1,EHF,ERBB2,FCGRT,FOS,FOSB,FSCN1,GCH1,IFIT1B,IFNG,IGF1R,IL17C,JUNB,MMP9,MT-CYB,NAMPT,NFKBID,NR4A1,NR4A2,NR4A3,PLK3,POU2AF1,PPARG,SYTL1,Tlr13,TNF,TNFAIP3,Tnfrsf22/Tnfrsf23,TPMT,VEGFA	256 (12)	
LIF	27.740	cytokine	Activated	2.328	 	2.29E-02	CDH1,CYP17A1,EGR1,FFAR2,FOS,IFNG,JUNB,LARGE1,MT-ATP6,MT-CO1,MT-CO2,MT-CYB,PPARG,SOCS3,TNF,VEGFA	 	
IL15	-91.011	cytokine	Activated	2.195	bias	4.48E-03	ACTG2,AHR,ANXA1,CD274,CD40,CD69,CD80,CD8A,CDH1,CEACAM1,CXCR4,DPYSL5,DUSP5,ERBB2,FCGR3A/FCGR3B,HSPA8,IFNG,IGF1R,JUNB,Klra7 (includes others),KLRG1,PGAM2,PIK3R3,PRDX4,PYGL,TJP1,TNF,TNFRSF25,TNFSF4,VEGFA,ZFP36L1	227 (16)	
ELF4	1.375	transcription regulator	Activated	2.200	bias	1.55E-02	CDKN2A,CREM,DUSP1,DUSP5,KLF4	 	
HGF	 	growth factor	Activated	2.599	bias	4.35E-02	ABCG2,AHR,ATF3,CD40,CDH1,CDKN2A,CXCR4,CYP17A1,EGR1,EHF,ESM1,FOS,FOSB,IFNG,ISG20,MELK,MMP9,NAMPT,NEK4,NR4A1,NR4A2,NR4A3,PNRC1,RGS2,SKIL,SOCS3,TJP1,TNF,TNFAIP3,VEGFA	 	
EIF2AK2	4.284	kinase	Activated	2.903	bias	1.02E-04	ATF3,BHLHE40,EGR1,FOS,Hspa1b,IFNG,IRS2,ISG20,OAS1,PPP1R15A,SOCS3,TNF,TNFAIP3	214 (18)	
FOXA1	 	transcription regulator	Activated	2.103	 	2.65E-03	ACTG2,ANXA1,ARHGEF9,CDH1,CDKN2A,DSCAM,ESR1,FMN1,JAG1,KLK3,NR4A2,PRNP,SLPI,TRIM2,TTR	213 (11)	
CETP	 	enzyme	Activated	2.000	 	1.67E-02	HSPA5,LCAT,PPARG,TNF	 	
TLR7/8	 	group	Activated	2.121	bias	3.48E-04	FFAR2,NFKBIZ,PNRC1,PPP1R15A,RGS1,SLC7A11,TNF,TNFAIP3	136 (7)	
carbamylcholine	 	chemical drug	Activated	2.205	bias	5.79E-03	CHRM3,EGR1,FOS,NR4A1,RGS2,VEGFA	279 (21)	
A23187	 	chemical reagent	Activated	2.399	bias	3.33E-07	AMD1,ATF3,CALCB,CD40,CD80,CTLA4,EGR1,FOS,FOSB,GCH1,HSPA5,ID3,IFNG,JUNB,NR4A1,ODC1,PPARG,TNF,VEGFA	220 (21)	
diethylnitrosamine	 	chemical toxicant	Activated	2.200	 	1.69E-01	Abcb1b,ETS2,Hspa1b,NR1H3,SELENBP1,TNF	 	
dalfampridine	 	chemical drug	Activated	3.464	bias	1.14E-07	ATF3,DUSP1,EGR1,FOS,FOSB,GADD45B,HSPA8,JUNB,KLF4,MAFF,NR4A1,NR4A2	180 (13)	
quinolinic acid	 	chemical - endogenous mammalian	Activated	2.358	 	3.21E-03	EGR1,FOS,FOSB,HSPA1A/HSPA1B,JUNB,PENK,TNF	187 (16)	
kainic acid	 	chemical toxicant	Activated	3.012	bias	3.09E-11	Abcb1b,ATF3,CD200,CHGB,CREM,CSRNP1,DUSP1,EGR1,FOS,FOSB,FOSL2,GADD45B,IL18,JUNB,LMO1,MMP9,NFIL3,NFKBID,NR4A1,NR4A2,ODC1,PENK,PER1,PPP1R15A,Sik1,TJP1,TNF,VEGFA	226 (19)	
amphetamine	 	chemical drug	Activated	2.379	bias	1.31E-03	ATF3,EGR1,FOS,FOSB,FOSL2,GPR83,HSPA8,JUNB,RGS2,SNCA,TNFAIP3	238 (22)	
geldanamycin	 	chemical - endogenous non-mammalian	Activated	2.698	bias	7.37E-04	ADAT2,CD40,CIITA,DBNDD2,EGR3,ERBB2,GNAO1,GRK3,HSPA1A/HSPA1B,Hspa1b,HSPA5,IRS1,IRS2,SFMBT2,TNF,TPMT	273 (20)	
