© 2000-2018 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(B-H p-value)	Ratio	z-score	Molecules
Atherosclerosis Signaling	2.02E00	1.18E-01	NaN	PNPLA8,CCR3,IFNG,CXCR4,COL10A1,PLA2G7,PLA2G4A,IL18,PLA2G2D,CD40,LCAT,PLA2G4B,COL11A2,TNF,MMP9
Crosstalk between Dendritic Cells and Natural Killer Cells	2E00	1.35E-01	NaN	CSF2RB,IFNG,IL18,CD40,CD80,HLA-A,FSCN1,CD69,IL15,ACTG2,HLA-F,TNF
eNOS Signaling	2E00	1.05E-01	-2.000	GUCY1A3,Hspa1b,CHRM4,HSPA1A/HSPA1B,CHRNB1,HSPA5,CNGA1,CHRM3,PRKCG,PIK3R3,VEGFA,HSPA8,KL,IRS1,HSP90AA1,IRS2,CHRNE,ESR1
Synaptic Long Term Depression	1.96E00	1.03E-01	-3.771	PNPLA8,CACNB1,GUCY1A3,CACNB4,CACNB3,PLA2G7,PRKCG,PLA2G4A,CACNA1E,PLCE1,LCAT,PLA2G2D,PLA2G4B,GNAO1,IGF1R,RYR1,PLCL1,CACNA2D4
FcγRIIB Signaling in B Lymphocytes	1.94E00	1.39E-01	0.000	BLNK,PIK3R3,CACNB1,CACNA1E,KL,IRS1,CACNB4,CD79A,IRS2,CACNB3,CACNA2D4
Type II Diabetes Mellitus Signaling	1.72E00	1.04E-01	-0.333	PPARG,SOCS3,CACNB1,CACNB4,CACNB3,PRKCG,PIK3R3,TRADD,NFKBID,CACNA1E,KL,IRS1,SLC27A1,IRS2,TNF,CACNA2D4
T Helper Cell Differentiation	1.67E00	1.37E-01	NaN	IFNG,IL4R,IL18,CD40,CD80,HLA-A,H2-Eb2,HLA-DMB,HLA-DOB,TNF
HGF Signaling	1.62E00	1.13E-01	-0.577	PTK2,CDKN2A,PIK3R3,MAP3K15,FOS,MAP3K10,ITGA3,ETS2,KL,MAP3K13,IRS1,IRS2,PRKCG
Phagosome Formation	1.61E00	1.08E-01	NaN	Tlr11,TLR8,PRKCG,PIK3R3,ITGA3,PLCE1,KL,IRS1,Tlr13,IRS2,PLCL1,FCGR3A/FCGR3B,CR2,MARCO
nNOS Signaling in Skeletal Muscle Cells	1.53E00	1.71E-01	NaN	CACNB1,CACNA1E,CACNB4,RYR1,CACNB3,CACNA2D4,CAPN3
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	1.44E00	1.02E-01	-0.333	PIK3R3,Tlr11,IFNG,IL18,OAS1,C3,IL17C,KL,IRS1,TLR8,IRS2,TNF,NLRC4,PRKCG
Aldosterone Signaling in Epithelial Cells	1.44E00	9.52E-02	-0.378	HSPA1A/HSPA1B,DNAJB2,HSPA5,PRKCG,PIK3R3,HSPA8,DNAJC28,PLCE1,KL,DUSP1,IRS1,DNAJB7,HSP90AA1,IRS2,PLCL1,DNAJC30
iCOS-iCOSL Signaling in T Helper Cells	1.44E00	1.06E-01	-0.577	GAB2,HLA-A,PIK3R3,NFKBID,CD40,CD80,KL,H2-Eb2,IRS1,HLA-DMB,HLA-DOB,IRS2,ITK
Germ Cell-Sertoli Cell Junction Signaling	1.34E00	9.25E-02	NaN	MAP3K15,TUBB1,TJP1,MAP3K13,TUBB2B,PIK3R3,PTK2,MAP3K10,CDH1,ITGA3,KL,IRS1,IRS2,ACTG2,TNF,ACTN1
Role of JAK1 and JAK3 in γc Cytokine Signaling	1.33E00	1.27E-01	NaN	BLNK,PIK3R3,SOCS3,IL4R,FES,KL,IRS1,IL15,IRS2
B Cell Receptor Signaling	1.32E00	8.9E-02	-1.291	BLNK,RAP2B,MAP3K15,GAB2,CD19,EGR1,MAP3K13,CD79A,PIK3R3,PAX5,PTK2,MAP3K10,NFKBID,EBF1,KL,IRS1,IRS2
MSP-RON Signaling Pathway	1.32E00	1.25E-01	NaN	PIK3R3,CSF2RB,IFNG,KLK3,KL,IRS1,IRS2,ACTG2,TNF
Autoimmune Thyroid Disease Signaling	1.31E00	1.49E-01	NaN	CD40,CD80,HLA-A,H2-Eb2,HLA-DMB,HLA-DOB,HLA-F
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	1.31E00	7.69E-02	NaN	Tlr11,SOCS3,IL15,TLR8,IRAK3,PRKCG,PIK3R3,VEGFA,IL1R2,FOS,NFKBID,TRADD,IL18,PLCE1,IL1RL2,KL,IRS1,GNAO1,Tlr13,IRS2,PLCL1,TNF,FCGR3A/FCGR3B,TNFSF13B
Primary Immunodeficiency Signaling	1.3E00	1.46E-01	NaN	BLNK,CD19,CD40,CIITA,ADA,CD79A,CD8A
CD28 Signaling in T Helper Cells	1.3E00	9.85E-02	0.707	HLA-A,CTLA4,PIK3R3,NFKBID,FOS,CD80,KL,H2-Eb2,IRS1,HLA-DMB,HLA-DOB,IRS2,ITK
VEGF Family Ligand-Receptor Interactions	1.3E00	1.14E-01	0.000	VEGFA,PIK3R3,PLA2G4A,FOS,PLA2G2D,KL,IRS1,PLA2G4B,IRS2,PRKCG
IL-4 Signaling	1.27E00	1.12E-01	NaN	PIK3R3,IL4R,IL13RA1,KL,HLA-A,H2-Eb2,IRS1,HLA-DMB,HLA-DOB,IRS2
Phospholipases	1.27E00	1.29E-01	NaN	PNPLA8,PLA2G4A,PLCE1,LCAT,PLA2G2D,PLA2G4B,PLCL1,PLA2G7
Toll-like Receptor Signaling	1.27E00	1.18E-01	-2.000	FOS,LY96,IL18,TLR8,TNFAIP3,Ubb,IRAK3,UBC,TNF
Antigen Presentation Pathway	1.27E00	1.58E-01	NaN	IFNG,HLA-A,HLA-DMB,CIITA,HLA-DOB,HLA-F
3-phosphoinositide Biosynthesis	1.27E00	8.5E-02	NaN	SOCS3,CD19,PPFIBP2,PPP1R14A,PTPRM,DUSP2,PIK3R3,DUSP5,CD80,KL,PPP1R16B,DUSP1,IRS1,SGPP2,IRS2,ERBB2,DUSP12
ERK/MAPK Signaling	1.27E00	8.5E-02	-0.728	PPARG,PPP1R14A,DUSP2,PRKCG,PIK3R3,PTK2,PLA2G4A,FOS,ITGA3,PLA2G2D,DUSP1,KL,ETS2,IRS1,PLA2G4B,IRS2,ESR1
LXR/RXR Activation	1.26E00	9.92E-02	0.302	IL1R2,SCD,TTR,LY96,IL18,C3,LCAT,IL1RL2,SERPINF1,NR1H3,TNF,MMP9
Superpathway of Inositol Phosphate Compounds	1.26E00	8.09E-02	NaN	SOCS3,CD19,PPFIBP2,PPP1R14A,PTPRM,DUSP2,PIK3R3,DUSP5,PLCE1,CD80,ITPKB,KL,PPP1R16B,DUSP1,IRS1,SGPP2,IRS2,ERBB2,DUSP12
Role of NFAT in Regulation of the Immune Response	1.25E00	8.6E-02	-0.775	BLNK,HLA-A,CD79A,PIK3R3,NFKBID,FOS,CD80,KL,H2-Eb2,IRS1,GNAO1,HLA-DMB,HLA-DOB,IRS2,FCGR3A/FCGR3B,ITK
Hepatic Fibrosis / Hepatic Stellate Cell Activation	1.24E00	8.56E-02	NaN	IFNG,IL4R,KLF6,COL10A1,COL20A1,VEGFA,IL1R2,LY96,IL1RL2,CD40,IGF1R,COL11A2,KLF12,TNF,MMP9,TIMP2
Antioxidant Action of Vitamin C	1.24E00	1.02E-01	1.508	PNPLA8,NFKBID,PLA2G4A,CSF2RB,PLCE1,LCAT,PLA2G2D,PLA2G4B,PLCL1,PLA2G7,TNF
Endothelin-1 Signaling	1.19E00	8.42E-02	-1.000	PNPLA8,GUCY1A3,PLA2G7,PRKCG,PIK3R3,PLA2G4A,FOS,PLCE1,PLA2G2D,LCAT,KL,IRS1,PLA2G4B,GNAO1,IRS2,PLCL1
Type I Diabetes Mellitus Signaling	1.17E00	9.91E-02	0.447	NFKBID,TRADD,SOCS3,IFNG,CD80,HLA-A,H2-Eb2,HLA-DMB,HLA-DOB,HLA-F,TNF
Sperm Motility	1.16E00	9.45E-02	-2.309	PTK2,PNPLA8,PLA2G4A,PLCE1,GUCY1A3,LCAT,PLA2G2D,PLA2G4B,PLCL1,PLA2G7,CNGA1,PRKCG
IL-6 Signaling	1.14E00	9.38E-02	0.577	IL1R2,VEGFA,PIK3R3,NFKBID,SOCS3,FOS,IL18,IL1RL2,KL,IRS1,IRS2,TNF
Paxillin Signaling	1.14E00	9.73E-02	-1.000	PTK2,ITGAD,PIK3R3,PARVA,ITGA3,ITGA2B,KL,IRS1,IRS2,ACTG2,ACTN1
IL-10 Signaling	1.14E00	1.16E-01	NaN	IL1R2,NFKBID,SOCS3,FOS,IL4R,IL18,IL1RL2,TNF
Allograft Rejection Signaling	1.12E00	1.07E-01	NaN	IFNG,CD40,CD80,HLA-A,H2-Eb2,HLA-DMB,HLA-DOB,HLA-F,TNF
MIF Regulation of Innate Immunity	1.12E00	1.4E-01	-0.816	NFKBID,PLA2G4A,FOS,LY96,PLA2G2D,PLA2G4B
14-3-3-mediated Signaling	1.11E00	9.16E-02	0.632	PIK3R3,TUBB1,FOS,PLCE1,KL,IRS1,IRS2,PLCL1,TNF,SNCA,PRKCG,TUBB2B
Dolichyl-diphosphooligosaccharide Biosynthesis	1.11E00	2.73E-01	NaN	ALG6,DPAGT1,ALG8
NF-κB Signaling	1.11E00	8.29E-02	-1.291	IL1R2,PIK3R3,NFKBID,TRADD,IL18,CD40,KL,IRS1,TLR8,IGF1R,TNFAIP3,IRS2,IRAK3,TNF,TNFSF13B
Role of MAPK Signaling in the Pathogenesis of Influenza	1.08E00	1.11E-01	NaN	PNPLA8,PLA2G4A,IFNG,LCAT,PLA2G2D,PLA2G4B,PLA2G7,TNF
IL-9 Signaling	1.07E00	1.33E-01	0.816	PIK3R3,SOCS3,KL,IRS1,IRS2,TNF
p38 MAPK Signaling	1.02E00	9.17E-02	-2.530	IL1R2,PLA2G4A,TRADD,IL18,TIFA,IL1RL2,PLA2G2D,DUSP1,PLA2G4B,IRAK3,TNF
Tec Kinase Signaling	1.01E00	8.24E-02	-0.577	PRKCG,PIK3R3,PTK2,BLK,FOS,ITGA3,KL,IRS1,GNAO1,TNFRSF25,IRS2,ACTG2,TNF,ITK
TREM1 Signaling	1E00	1.07E-01	-2.121	Tlr11,IL18,CD40,CIITA,TLR8,Tlr13,TNF,NLRC4
Systemic Lupus Erythematosus Signaling	9.72E-01	7.56E-02	NaN	HLA-A,CD79A,PIK3R3,FOS,IL18,CD80,CD40,KL,IRS1,CREM,IRS2,LSM7,C6,HLA-F,TNF,FCGR3A/FCGR3B,TNFSF13B
MIF-mediated Glucocorticoid Regulation	9.71E-01	1.43E-01	-1.342	NFKBID,PLA2G4A,LY96,PLA2G2D,PLA2G4B
Non-Small Cell Lung Cancer Signaling	9.6E-01	1.04E-01	0.816	CDKN2A,PIK3R3,FHIT,KL,IRS1,RARB,IRS2,ERBB2
Aryl Hydrocarbon Receptor Signaling	9.52E-01	8.51E-02	0.000	CDKN2A,GSTT2/GSTT2B,FOS,NFIX,MGST2,GSTM5,RARB,HSP90AA1,ALDH3B1,ESR1,TNF,AHR
Tetrapyrrole Biosynthesis II	9.51E-01	4E-01	NaN	UROS,ALAS2
CD40 Signaling	9.17E-01	1.01E-01	0.000	PIK3R3,NFKBID,FOS,CD40,KL,IRS1,TNFAIP3,IRS2
Sertoli Cell-Sertoli Cell Junction Signaling	9.14E-01	7.87E-02	NaN	MAP3K15,MAP3K10,TUBB1,CDH1,ITGA3,GUCY1A3,TJP1,MAP3K13,SPTB,NECTIN1,ACTG2,TNF,ACTN1,TUBB2B
PPAR Signaling	9.14E-01	9.47E-02	-0.333	PPARG,IL1R2,NFKBID,FOS,IL18,IL1RL2,HSP90AA1,NR1H3,TNF
Thrombopoietin Signaling	9.13E-01	1.08E-01	0.378	PIK3R3,GAB2,FOS,KL,IRS1,IRS2,PRKCG
Netrin Signaling	9.13E-01	1.08E-01	NaN	CACNB1,CACNA1E,CACNB4,ABLIM2,RYR1,CACNB3,CACNA2D4
Tryptophan Degradation III (Eukaryotic)	9.12E-01	1.6E-01	NaN	KMO,TDO2,HAAO,KYNU
ILK Signaling	9.12E-01	7.61E-02	0.277	PARVA,PIK3R3,VEGFA,PTK2,FOS,CDH1,TGFB1I1,KL,IRS1,IRS2,ACTG2,TNF,MMP9,DSP,ACTN1
Erythropoietin Signaling	9.01E-01	9.88E-02	NaN	PIK3R3,NFKBID,SOCS3,FOS,KL,IRS1,IRS2,PRKCG
Eicosanoid Signaling	8.71E-01	1.04E-01	-1.633	PNPLA8,PLA2G4A,LCAT,PLA2G2D,PLA2G4B,GGT1,PLA2G7
IL-3 Signaling	8.64E-01	9.64E-02	0.000	PIK3R3,CSF2RB,GAB2,FOS,KL,IRS1,IRS2,PRKCG
Renal Cell Carcinoma Signaling	8.64E-01	9.64E-02	1.342	VEGFA,PIK3R3,FOS,KL,IRS1,Ubb,IRS2,UBC
p70S6K Signaling	8.64E-01	8.33E-02	-0.905	PIK3R3,IL4R,CD19,PLCE1,F2RL3,KL,IRS1,CD79A,IRS2,PLCL1,PRKCG
NAD Biosynthesis III	8.64E-01	3.33E-01	NaN	NAMPT,Nmnat3
GP6 Signaling Pathway	8.32E-01	8.21E-02	-1.508	PTK2,PIK3R3,ITGA2B,KL,IRS1,COL10A1,IRS2,COL20A1,COL11A2,KLF12,PRKCG
Growth Hormone Signaling	8.32E-01	9.41E-02	0.378	PIK3R3,SOCS3,FOS,KL,IRS1,IGF1R,IRS2,PRKCG
Small Cell Lung Cancer Signaling	8.32E-01	9.41E-02	0.447	PTK2,PIK3R3,NFKBID,FHIT,KL,IRS1,RARB,IRS2
Melanoma Signaling	8.32E-01	1.09E-01	1.000	CDKN2A,PIK3R3,CDH1,KL,IRS1,IRS2
Unfolded protein response	8.32E-01	1.09E-01	NaN	PPARG,HSPA8,Hspa1b,PPP1R15A,HSPA1A/HSPA1B,HSPA5
Glioma Invasiveness Signaling	8.32E-01	1E-01	0.378	PTK2,PIK3R3,KL,IRS1,IRS2,MMP9,TIMP2
RANK Signaling in Osteoclasts	8.3E-01	8.82E-02	0.000	PIK3R3,NFKBID,MAP3K15,MAP3K10,FOS,KL,MAP3K13,IRS1,IRS2
NF-κB Activation by Viruses	8.1E-01	9.2E-02	0.000	PIK3R3,NFKBID,ITGA3,KL,IRS1,IRS2,PRKCG,CR2
PEDF Signaling	8.1E-01	9.2E-02	0.378	PPARG,PIK3R3,NFKBID,ARHGAP22,KL,IRS1,SERPINF1,IRS2
NAD Biosynthesis from 2-amino-3-carboxymuconate Semialdehyde	7.82E-01	2.86E-01	NaN	NADSYN1,QPRT
Corticotropin Releasing Hormone Signaling	7.8E-01	7.91E-02	1.265	VEGFA,FOS,CACNB1,CACNA1E,GUCY1A3,CACNB4,GNAO1,NR4A1,CACNB3,CACNA2D4,PRKCG
Role of p14/p19ARF in Tumor Suppression	7.8E-01	1.16E-01	-1.342	CDKN2A,PIK3R3,KL,IRS1,IRS2
Relaxin Signaling	7.8E-01	7.64E-02	0.333	VEGFA,ENPP6,PIK3R3,NFKBID,FOS,GUCY1A3,KL,IRS1,GNAO1,IRS2,MMP9,PDE6D
NRF2-mediated Oxidative Stress Response	7.8E-01	7.25E-02	0.000	GSTM5,JUNB,DNAJB2,MAFF,PRKCG,PIK3R3,GSTT2/GSTT2B,FOS,MGST2,KL,IRS1,DNAJB7,IRS2,ACTG2
TNFR2 Signaling	7.65E-01	1.33E-01	NaN	NFKBID,FOS,TNFAIP3,TNF
Huntington's Disease Signaling	7.65E-01	6.8E-02	1.265	Hspa1b,IFT57,HSPA1A/HSPA1B,Ubb,HSPA5,PRKCG,HSPA8,PIK3R3,MAP3K10,KL,IRS1,PENK,IGF1R,IRS2,UBC,SNCA,CAPN3
Nur77 Signaling in T Lymphocytes	7.54E-01	1.02E-01	NaN	CD80,HLA-A,H2-Eb2,HLA-DMB,NR4A1,HLA-DOB
IL-7 Signaling Pathway	7.52E-01	8.79E-02	-0.707	PTK2,PAX5,PIK3R3,IFNG,EBF1,KL,IRS1,IRS2
Hepatic Cholestasis	7.52E-01	7.5E-02	NaN	IL1R2,NFKBID,IFNG,LY96,IL18,IL17C,IL1RL2,NR1H3,IRAK3,ESR1,TNF,PRKCG
iNOS Signaling	7.49E-01	1.11E-01	0.447	NFKBID,IFNG,FOS,LY96,IRAK3
Glutathione-mediated Detoxification	7.49E-01	1.29E-01	NaN	GSTT2/GSTT2B,MGST2,GSTM5,ANPEP
Ephrin A Signaling	7.49E-01	1E-01	NaN	PTK2,PIK3R3,KL,IRS1,EPHA1,IRS2
Reelin Signaling in Neurons	7.49E-01	8.7E-02	NaN	PIK3R3,BLK,MAP3K10,ITGA3,KL,IRS1,IRS2,ARHGEF9
IL-15 Signaling	7.46E-01	9.21E-02	NaN	PTK2,PIK3R3,KL,IRS1,IL15,IRS2,TNF
Airway Pathology in Chronic Obstructive Pulmonary Disease	7.45E-01	2.5E-01	NaN	TNF,MMP9
Ceramide Signaling	7.45E-01	8.6E-02	-0.707	S1PR3,PIK3R3,FOS,S1PR5,KL,IRS1,IRS2,TNF
Lipoate Salvage and Modification	7.45E-01	1E00	NaN	LIPT1
D-mannose Degradation	7.45E-01	1E00	NaN	MPI
Integrin Signaling	7.3E-01	6.85E-02	-2.138	RAP2B,ITGAD,PARVA,ITGA2B,BCAR3,PIK3R3,PTK2,ITGA3,KL,IRS1,IRS2,ACTG2,TSPAN4,ACTN1,CAPN3
IL-12 Signaling and Production in Macrophages	7.3E-01	7.53E-02	NaN	PPARG,PIK3R3,IFNG,FOS,IL18,CD40,KL,IRS1,IRS2,TNF,PRKCG
GNRH Signaling	7.17E-01	7.27E-02	-1.134	PTK2,MAP3K15,MAP3K10,FOS,CACNB1,CACNA1E,MAP3K13,EGR1,CACNB4,CACNB3,CACNA2D4,PRKCG
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	7.17E-01	8.04E-02	-3.000	CACNB1,PLCE1,CACNA1E,CACNB4,CACNB3,PLCL1,CACNA2D4,PRKCG,FFAR2
EIF2 Signaling	7.16E-01	6.79E-02	0.905	ATF3,ATF5,HSPA5,PIK3R3,VEGFA,RPL18A,KL,IRS1,PPP1R15A,IGF1R,IRS2,ACTG2,RPL13A,AGO4,RPSA
Estrogen-Dependent Breast Cancer Signaling	7.16E-01	8.86E-02	0.378	PIK3R3,FOS,KL,IRS1,IGF1R,IRS2,ESR1
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	7.16E-01	8.86E-02	0.378	PIK3R3,NFKBID,IFNG,KL,IRS1,IRS2,Ifnz (includes others)
LPS/IL-1 Mediated Inhibition of RXR Function	7.16E-01	6.76E-02	-0.447	GSTM5,NR1H3,CHST15,IL1R2,GSTT2/GSTT2B,IL18,LY96,IL1RL2,MGST2,CHST3,SLC27A1,ALDH3B1,FABP3,NDST2,TNF
Nitric Oxide Signaling in the Cardiovascular System	7.16E-01	7.96E-02	0.333	VEGFA,PIK3R3,CACNA1E,GUCY1A3,KL,IRS1,HSP90AA1,IRS2,PRKCG
Endometrial Cancer Signaling	6.93E-01	9.38E-02	0.447	PIK3R3,CDH1,KL,IRS1,IRS2,ERBB2
Heme Biosynthesis II	6.93E-01	2.22E-01	NaN	UROS,ALAS2
CTLA4 Signaling in Cytotoxic T Lymphocytes	6.63E-01	8.08E-02	NaN	PIK3R3,CD80,KL,HLA-A,IRS1,IRS2,CD8A,CTLA4
FAK Signaling	6.63E-01	8.08E-02	NaN	PTK2,PIK3R3,ITGA3,KL,IRS1,IRS2,ACTG2,CAPN3
TNFR1 Signaling	6.63E-01	1E-01	1.000	NFKBID,TRADD,FOS,TNFAIP3,TNF
Calcium-induced T Lymphocyte Apoptosis	6.63E-01	9.09E-02	-0.816	HLA-A,H2-Eb2,HLA-DMB,NR4A1,HLA-DOB,PRKCG
UVB-Induced MAPK Signaling	6.63E-01	9.09E-02	0.816	PIK3R3,FOS,KL,IRS1,IRS2,PRKCG
Gα12/13 Signaling	6.63E-01	7.41E-02	0.333	PTK2,PIK3R3,NFKBID,CDH1,F2RL3,KL,IRS1,CDH23,CDH17,IRS2
Prolactin Signaling	6.57E-01	8.43E-02	0.378	PIK3R3,SOCS3,FOS,KL,IRS1,IRS2,PRKCG
PAK Signaling	6.43E-01	7.92E-02	0.000	PTK2,PIK3R3,ITGA3,KL,IRS1,IRS2,DSCAM,TNF
Fc Epsilon RI Signaling	6.39E-01	7.56E-02	-0.707	PIK3R3,PLA2G4A,PLA2G2D,KL,IRS1,PLA2G4B,IRS2,TNF,PRKCG
Xenobiotic Metabolism Signaling	6.36E-01	6.21E-02	NaN	MAP3K15,GSTM5,MAP3K13,CHST15,PRKCG,PIK3R3,GSTT2/GSTT2B,MAP3K10,MGST2,KL,IRS1,CHST3,HSP90AA1,ALDH3B1,IRS2,NDST2,TNF,AHR
Virus Entry via Endocytic Pathways	6.36E-01	7.84E-02	NaN	PIK3R3,ITGA3,KL,HLA-A,IRS1,IRS2,ACTG2,PRKCG
Pancreatic Adenocarcinoma Signaling	6.36E-01	7.5E-02	0.000	CDKN2A,VEGFA,PIK3R3,E2F6,KL,IRS1,IRS2,ERBB2,MMP9
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	6.36E-01	6.7E-02	0.832	PIK3R3,MAP3K15,FOS,NFKBID,MAP3K10,IFNG,KL,MAP3K13,IRS1,PPP1R14A,IRS2,TNF,PRKCG
Docosahexaenoic Acid (DHA) Signaling	6.36E-01	9.62E-02	NaN	PIK3R3,KL,IRS1,SERPINF1,IRS2
Signaling by Rho Family GTPases	6.35E-01	6.35E-02	-0.775	CDH23,PIK3R3,PTK2,MAP3K10,FOS,CDH1,ITGA3,KL,IRS1,GNAO1,SEPT10,CDH17,IRS2,ACTG2,ARHGEF9,SEPT2
VEGF Signaling	6.3E-01	7.77E-02	0.000	PTK2,VEGFA,PIK3R3,KL,IRS1,IRS2,ACTG2,ACTN1
Leptin Signaling in Obesity	6.27E-01	8.14E-02	0.447	PIK3R3,SOCS3,PLCE1,KL,IRS1,IRS2,PLCL1
3-phosphoinositide Degradation	6.27E-01	6.96E-02	NaN	SOCS3,DUSP5,INPP4B,PPP1R16B,DUSP1,PPFIBP2,SGPP2,PPP1R14A,DUSP12,PTPRM,DUSP2
CD27 Signaling in Lymphocytes	6.23E-01	9.43E-02	-1.000	NFKBID,MAP3K15,MAP3K10,FOS,MAP3K13
LPS-stimulated MAPK Signaling	6.15E-01	8.05E-02	1.134	PIK3R3,NFKBID,FOS,KL,IRS1,IRS2,PRKCG
Myc Mediated Apoptosis Signaling	6.15E-01	8.57E-02	NaN	CDKN2A,PIK3R3,KL,IRS1,IGF1R,IRS2
Notch Signaling	6.15E-01	1.05E-01	NaN	NOTCH4,DTX4,APH1A,JAG1
IGF-1 Signaling	6.03E-01	7.55E-02	0.000	PTK2,PIK3R3,SOCS3,FOS,KL,IRS1,IGF1R,IRS2
D-myo-inositol-5-phosphate Metabolism	6.03E-01	6.79E-02	NaN	SOCS3,DUSP5,PLCE1,PPP1R16B,DUSP1,PPFIBP2,SGPP2,PPP1R14A,DUSP12,PTPRM,DUSP2
Sphingosine-1-phosphate Signaling	6.03E-01	7.2E-02	-1.000	PTK2,S1PR3,PIK3R3,PLCE1,S1PR5,KL,IRS1,IRS2,PLCL1
ErbB4 Signaling	6.03E-01	8.33E-02	0.447	PIK3R3,KL,APH1A,IRS1,IRS2,PRKCG
Lipoate Biosynthesis and Incorporation II	6.03E-01	5E-01	NaN	LIPT1
Spermine Biosynthesis	6.03E-01	5E-01	NaN	AMD1
Spermidine Biosynthesis I	6.03E-01	5E-01	NaN	AMD1
Glycine Degradation (Creatine Biosynthesis)	6.03E-01	5E-01	NaN	GATM
Putrescine Biosynthesis III	6.03E-01	5E-01	NaN	ODC1
Hereditary Breast Cancer Signaling	6.03E-01	6.94E-02	NaN	PIK3R3,GADD45B,KL,IRS1,Ubb,IRS2,UBC,FANCA,FANCL,RFC3
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	6.03E-01	6.94E-02	NaN	SOCS3,DUSP5,PPP1R16B,DUSP1,PPFIBP2,SGPP2,PPP1R14A,DUSP12,PTPRM,DUSP2
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	6.03E-01	6.94E-02	NaN	SOCS3,DUSP5,PPP1R16B,DUSP1,PPFIBP2,SGPP2,PPP1R14A,DUSP12,PTPRM,DUSP2
