© 2000-2018 QIAGEN. All rights reserved.

Upstream Regulator	Expr Fold Change	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	Target molecules in dataset	Mechanistic Network	
IgG	 	complex	Activated	2.829	1.92E-02	ASAH1,ATP1B1,ATP6V0D1,B2M,CCND2,CD9,CDKN1A,CSNK2B,DEGS1,DUSP1,DUSP14,ELK1,EMP1,FCGR2A,FCGR2B,FOSB,GUK1,HSPA5,IFNG,IL10,IL12RB2,IL16,ISG15,KLK8,LDLR,LGALS3,Ly6a (includes others),MS4A1,PIM1,PLS3,PPIF,PPP1R15A,PTGS2,S1PR1,ST14,STK24,TGFB1,TNFAIP3,TNFRSF13C,UGCG,VEGFA,ZFP36,ZMPSTE24	 	
ALKBH1	 	enzyme	Activated	2.828	1.69E-06	MT-ATP6,MT-CO1,MT-CO2,MT-CYB,MT-ND2,MT-ND4,MT-ND4L,MT-ND5	 	
NSUN3	-276.460	enzyme	Activated	2.828	1.69E-06	MT-ATP6,MT-CO1,MT-CO2,MT-CYB,MT-ND2,MT-ND4,MT-ND4L,MT-ND5	 	
NPC1	-1.484	transporter	Activated	2.174	2.41E-02	ABCA1,CD68,CTSB,GUSB,HMGCR,LDLR,LGALS3,LIPA,MYLIP,NPC2,PTGS2,STAT2,STAT3,STAT4	 	
MIR17HG	 	other	Activated	3.104	8.75E-03	BCL2L11,BMPR2,CDKN1A,CREB1,CYLD,IKZF4,ITCH,PTEN,TAX1BP1,TNFAIP3	781 (10)	
RICTOR	-23397.363	other	Activated	7.267	1.10E-11	ATP5C1,Atp5e,ATP5G3,ATP5J,ATP5J2,ATP5L,ATP6AP1,ATP6V0A2,ATP6V0D1,ATP6V0D2,ATP6V1A,ATP6V1B2,ATP6V1D,ATP6V1E1,BAX,BCL2L11,CD69,COX10,COX15,COX4I1,COX6B2,COX7A2L,COX7B,Cox7c,CYC1,EGR1,IFI16,IFIT2,IFNG,IRS2,ISG15,MRPL13,Mx1/Mx2,NDUFA10,NDUFA11,NDUFA3,NDUFA4,NDUFA5,NDUFA6,NDUFA7,NDUFA9,NDUFAB1,NDUFB4,NDUFB5,NDUFB6,NDUFB7,NDUFB8,NDUFB9,NDUFC1,NDUFC2,NDUFS1,NDUFS3,NDUFS4,Ndufs5,NDUFS6,NDUFS8,NDUFV2,NIPAL1,PHF11,PPA2,PSMA1,PSMA6,PSMB5,PSMB8,PSMB9,PSMC1,PSMC2,PSMC6,PSMD11,PSMD13,PSMD14,PSMD6,PSME4,PTEN,PTGS2,RPL10,RPL11,RPL13A,RPL14,RPL21,RPL23,Rpl23a,RPL41,RPS15,RPS3,RPSA,RSL24D1,SDHA,SDHC,SDHD,SGK1,Slfn2,SREBF1,Uba52,UQCRB,UQCRFS1,UQCRQ	815 (9)	
TRAP1	-1.629	enzyme	Activated	3.053	6.99E-03	BCL2L13,C1QBP,GARS,GFER,HSD17B10,HSPD1,ISCU,MARS,MAVS,MRPL18,NDUFA11,PTGS2,SMDT1	 	
ABCB6	-2226.283	transporter	Activated	2.137	1.80E-01	ATPIF1,CAT,CPOX,CYP20A1,FECH,GLRX5,ISCA1,NT5C3A,PRDX2,TXNRD2,UROD	 	
Fcor	 	enzyme	Activated	2.414	1.43E-03	BCL2L11,CAT,CCNG2,CDKN1A,CDKN1B,FASLG,RBL2	295 (4)	
MRPL12	-567.999	other	Activated	2.200	8.29E-03	MT-CO1,MT-CO2,MT-ND1,MT-ND2,MT-ND6	 	
ACKR2	 	g-protein coupled receptor	Activated	3.742	5.80E-03	DDX60,EIF2AK2,IFI16,Ifi47,IFIT2,IFIT3,Iigp1,IRF7,ISG15,ISG20,OAS1,Oasl2,STAT2,USP18	 	
RBM5	1.075	other	Activated	2.325	2.52E-03	ADAM9,ATP5G3,BTG2,CD69,CDC27,FAF1,HSP90AA1,INSIG1,ISG15,ITPA,MLH1,NCOA3,NDUFV2,PIM1,PLK4,THAP12,UBA1	 	
evofosfamide	 	chemical drug	Activated	2.000	4.76E-02	CCND2,CDK4,CDKN1A,CDKN1B	 	
SOX2	 	transcription regulator	Activated	2.515	1.00E00	ACVR2A,AHR,ATF3,BHLHE40,BMPR1A,CDKN1A,CDKN1B,CHST15,COBLL1,COMMD3-BMI1,CSF1R,CXCR4,DPY30,DUSP1,DUSP5,ETS2,FOS,FOXO4,GADD45B,GATA3,GBP3,GSK3B,HOPX,IER5L,JARID2,KDM3A,KIF16B,KLF4,KLF6,KLK14,L3MBTL3,LEF1,LLGL2,MEF2C,NRP1,NUDT21,Oasl2,PAX6,PDK1,PIK3R1,POLE4,PPP2CA,PRKCD,SMAD1,SMARCAD1,TGFB1,TRIM33,Usp17la (includes others),USP18,VEGFA,ZFHX3,ZNF148	 	
SLC13A1	-53.285	transporter	Activated	2.041	5.86E-02	ACLY,ACTG1,BYSL,CLPX,EDEM1,GALE,GFM1,GPAM,GPC6,HK2,HSPA5,HSPA8,INSIG1,KLF9,MAD2L2,MPP6,MVD,RPL41,RPN1,SPP1,SRPRA,STX6,Tgtp1/Tgtp2,TUBA1C	 	
MDM2	-22.916	transcription regulator	Activated	2.009	6.08E-02	ATF3,BAX,CASP2,CCNA2,CDK4,CDKN1A,CDKN1B,CLIP3,ELF4,HIST2H2AA3/HIST2H2AA4,KAT2B,LYZ,MDM2,MDM4,RPL23,TERT,TFDP1,THBS1,TNFSF10	 	
SEL1L	-17.461	other	Activated	2.213	1.10E-01	DNAJC3,EDEM1,HERPUD1,HSPA5,PAX6,PTEN	 	
EZR	1.085	other	Activated	2.004	2.52E-01	ATF3,BAX,BOP1,DDIT4,GEMIN5,IL10,PTGS2,RPS6KB1	 	
ACOX1	-1064.816	enzyme	Activated	2.580	6.73E-02	ABCD3,ACADM,ACOT2,ACOX1,ACSL1,ADAMTS1,Akr1c12/Akr1c13,CAT,CDKN1A,COL4A2,CPOX,CRAT,EHHADH,ETS2,FAM214A,GOT1,GPX4,GSTP1,HLA-DQA1,HSD11B1,HSPA5,IL1RAP,KLF6,LGALS3,LONP1,MFGE8,NFE2L2,NR1H3,PIGP,PLSCR1,QPCT,RGS2,SGK1,TAGLN2,UGCG	 	
IL10RA	1.168	transmembrane receptor	Activated	3.195	4.03E-01	ACSL1,ACSS2,ADD3,ARL5A,Art2b,BAX,CCR7,CD69,CDKN2D,CERS4,CSRP2,CST7,CTLA4,DDIT4,ENTPD5,ERO1A,FASLG,GNE,GPR171,GPR18,GSAP,GSTM1,HLA-A,HSPA8,IFI16,Ifi47,IFNG,Iigp1,IKBKE,IL12RB1,IRF7,IRGM,Irgm1,Ly6a (includes others),MLKL,NAMPT,NDRG2,Nnt,NR1H3,PARVG,PDCD1,PLA2G16,PPT2,PSMB8,PSMB9,PYGL,S1PR1,SELL,Serpina3g (includes others),SERPINB6,Serpinb6b,SERPINB9,SLC2A1,SLC7A11,Slfn1,SOCS3,STAT3,TGFB1,Tgtp1/Tgtp2,TNFRSF14,ZBP1	 	
IRF4	-57.639	transcription regulator	Activated	3.347	1.16E-04	Acp5,B2M,BCL6,CD68,CLTA,CTLA4,CTSS,CXCL3,CXCR4,GATA3,GRB2,HSPA8,IFNG,IL10,IL12RB1,IL21,IRF4,IRF5,IRF7,ISG15,JAK2,MANF,MAPRE1,MS4A1,OAS1,PAX5,PDCD6,PHF11,PLSCR1,PSMA1,RAD51,RHOA,RHOB,RORA,SLC2A1,SPIB,SPP1,STAT2,SUB1,TBX21,TK1,TNFRSF9,TNFSF10,TSPAN31,UBE2H,ZBTB20,ZFP36L1	519 (12)	
NR1H4	 	ligand-dependent nuclear receptor	Activated	2.020	1.00E00	Abcb1b,ABCB4,ABHD5,ACSS1,ADRB2,CCNE1,HSPA5,IFNG,ITGAM,NDRG2,PGM1,PSMD10,PTGS2,RXRA,S1PR1,SDHA,SREBF1,TGFB1,TK1	 	
SUMO2	-11.407	enzyme	Activated	2.345	3.16E-01	Bst2,CCND2,CD38,HLA-G,HSPA8,ISG15,LY6E,PIK3R1,XRCC5	 	
miR-155-5p (miRNAs w/seed UAAUGCU)	 	mature microrna	Activated	7.233	6.65E-06	ANKFY1,ARFIP1,ARL5B,ATG3,BET1,CASP1,CD69,CSF1R,CTLA4,CUL4B,CXCL3,CYP51A1,DCAF7,DHX40,DNAJB1,DNAJC19,FADS1,HSD17B12,IFNG,IKBKE,JARID2,KRAS,LCLAT1,MLH1,MOSPD2,MSH2,MSH6,MYO1E,NARS,NT5E,PDLIM5,PELI1,PIK3R1,PKN2,POLE4,PRAF2,PRKCI,PTGS2,PTPRJ,RAB5C,RAB6A,RHOA,RIPK1,SMAD1,SNAP29,TAB2,TBCA,TM6SF1,TRAM1,TXNDC12,UBE2J1,UFL1,WDFY1,WEE1	814 (7)	
mir-155	 	microrna	Activated	3.238	2.65E-03	ADAM10,APAF1,BCL6,CD68,CD69,CDKN1A,DHX40,DNAJA2,DNAJB1,DUSP5,HK2,HMOX1,IFNG,IKBKE,IL10,IRF8,JARID2,MLH1,MSH2,MSH6,NUP153,PELI1,PTGS2,RICTOR,RIPK1,RORA,S1PR1,SOCS3,STAT3,TAB2,WEE1,ZNF652	413 (7)	
miR-221-3p (and other miRNAs w/seed GCUACAU)	 	mature microrna	Activated	3.369	3.18E-03	APAF1,BCL2L11,CDKN1B,DDIT4,FOS,GAS5,MITF,PIK3R1,PPP2R2A,PTEN,SH3BP2,SLC29A1	690 (7)	
miR-291a-3p (and other miRNAs w/seed AAGUGCU)	 	mature microrna	Activated	4.783	5.70E-03	ADAM9,ANKRD52,CCND2,CDK19,CDKN1A,CYB5R4,GBP3,GPSM2,HERPUD1,KIF23,KLHL12,MBNL2,MKRN1,NIPSNAP2,NR4A2,PCGF5,PRC1,RNF149,SEPT2,STX11,TEX30,TFAP4,TMEM9B,VEGFA,VPS26A,ZHX1,ZNF226	 	
miR-17-5p (and other miRNAs w/seed AAAGUGC)	 	mature microrna	Activated	4.546	1.77E-04	BAMBI,BCL2L11,BMPR2,CAMTA1,CCND2,CCNE1,CDK7,CDKN1A,CREB1,E2F2,E2F3,IKZF4,ITCH,MAP3K12,MEF2D,MYLIP,NCOA3,PTEN,RBL2,RHOA,RHOC,S1PR1,STAT3,VEGFA	1006 (13)	
mir-210	 	microrna	Activated	5.003	1.67E-04	ABCB9,ATP11C,CBX1,CDCA7L,CDK10,CHD9,COL4A2,COX10,CPEB2,E2F3,ELK3,EPHA3,FAM102A,FAM3C,GPD1L,IL16,ISCU,KCMF1,KIAA0930,KLF6,LASP1,MIB1,NDRG1,NDUFA4,PDXK,RAD52,SDF2,SDHD,SEH1L,SH3BGRL,TERF2IP,TNPO1,UBQLN1	 	
miR-124-3p (and other miRNAs w/seed AAGGCAC)	 	mature microrna	Activated	7.898	7.03E-06	1700047I17Rik2/Fam177a,ABHD5,ACAA2,ACTR8,AHR,AK2,ARFIP1,ARPC1B,ATL3,ATP6V0E1,BLOC1S6,CDCA7,CDCA7L,CDK4,CERS2,CLDND1,CPNE3,DHCR24,DNAJC1,DVL2,EGR1,ELF4,ELK3,ELOVL1,ELOVL5,GINM1,GMCL1,GNAI3,GNG10,GSK3B,HADH,HADHB,INO80C,KATNA1,KLHL24,LAMC1,LDLR,LDLRAP1,LITAF,LRRC58,MAD2L2,MAN2A1,MAPK1IP1L,MMADHC,MTMR6,MYH9,NR3C2,PGM1,PLP2,RARG,RAVER2,RNPEPL1,RYK,SERPINB6,SLC25A30,SLC30A7,SLC50A1,STAT3,STOM,STX2,SURF4,SYNGR2,TARBP1,TMEM109,TMEM248,UHMK1,UHRF1,VPS37C,ZBED3,ZNF367,ZNF790	 	
mir-25	 	microrna	Activated	2.835	2.19E-03	BAX,BCL2L11,CDKN1A,E2F2,E2F3,MAP2K4,MDM2,MYLIP,PTEN,REV3L,TGFBR1,TSC1	908 (11)	
miR-29b-3p (and other miRNAs w/seed AGCACCA)	 	mature microrna	Activated	3.916	6.01E-03	ACVR2A,BCL2L11,CNOT8,COL4A1,COL4A2,DCP2,DUSP2,FAM3C,FRAT2,GMFB,INSIG1,KCTD3,KLF4,LAMC1,MYBL2,PIK3R1,PTEN,SRSF10,TDG,TNFAIP3,ZFP36L1	 	
miR-18a-5p (and other miRNAs w/seed AAGGUGC)	 	mature microrna	Activated	2.756	3.02E-03	BCL2L11,CDKN1A,E2F2,E2F3,HSF2,KRAS,PIAS3,THBS1	784 (7)	
mir-17	 	microrna	Activated	4.016	1.73E-03	ABCA1,AKT1,ATM,BCL2L11,BIRC2,CASP7,CDKN1A,DUSP2,HSF2,LEF1,MAPK8,MDM2,MYLIP,NCOA3,PHF6,PSMD13,PTEN,RBL2,S1PR1,STAT3,TGFBR1,THBS1,TNKS2	938 (10)	
miR-16-5p (and other miRNAs w/seed AGCAGCA)	 	mature microrna	Activated	8.321	2.73E-10	ABCF2,ADSS,ANAPC16,ATF6,ATG9A,BCL2L2,CCND2,CCNE1,CDC14A,CDK5RAP1,CDK7,CEP63,CREBL2,DMTF1,DTD1,E2F3,ECHDC1,EIF2B2,EIF4E,FAM69A,FNDC3B,GFM1,GFPT1,GOLGA5,GOLPH3L,GPAM,GRB2,GTF2H1,H3F3A/H3F3B,HACE1,HDHD2,HERC6,HMOX1,HSPA1A/HSPA1B,IFRD1,KIF23,LAMC1,LAMTOR3,LAMTOR5,LDAH,LUZP1,LYPLA2,MAP2K1,MAP2K4,MSH2,NAPG,NT5DC1,OGT,OMA1,PAFAH1B2,PDCD6IP,PHKB,PMS1,PPIF,PRIMPOL,PSAT1,PTGS2,RARS,RIDA,SLC12A2,SLC25A22,SLC7A1,SPTLC1,SRPRA,SRPRB,TIA1,TMEM109,TMEM251,TMEM43,TPM3,UBE4A,UGDH,UGP2,UTP15,VEGFA,VPS45,WEE1	 	
miR-27a-3p (and other miRNAs w/seed UCACAGU)	 	mature microrna	Activated	3.691	1.25E-02	BAX,GCA,GRB2,IFI16,MEF2C,ODC1,PEX7,PKMYT1,Pmaip1,RXRA,SIGLEC1,SRM,ST14,WEE1	 	
mir-130	 	microrna	Activated	2.449	3.49E-02	GTF2H1,IRF8,KLF4,ROCK1,STX6,TGFBR1	 	
miR-19b-3p (and other miRNAs w/seed GUGCAAA)	 	mature microrna	Activated	2.415	2.37E-02	BCL2L11,BMPR2,MYLIP,NR4A2,PTEN,THBS1	 	
mir-19	 	microrna	Activated	3.120	2.74E-03	ABCA1,BCL2L11,CDKN1A,E2F2,E2F3,MSMO1,MYLIP,PPP2R5E,PRKAA1,PTEN	 	
mir-181	 	microrna	Activated	2.161	3.54E-02	ATG5,BCL2L11,CD69,CREB1,CYLD,EZH2,IRF8,KLF6,NLK,PRKCD,PTEN,PTPN22,RNF2,SPTLC1	 	
miR-483-3p (miRNAs w/seed CACUCCU)	 	mature microrna	Activated	4.123	5.60E-05	ADIPOR2,AMZ2,ASH2L,BRCA1,CREBL2,DCAF6,EI24,ERP29,FAM213A,GPSM2,GTF2E1,IGF2,KLHL12,METAP1,MGME1,RAN,RNF4,SLC7A1,SOCS3,SPC25	 	
miR-451a (and other miRNAs w/seed AACCGUU)	 	mature microrna	Activated	2.201	2.66E-02	AKT1,AKTIP,CDKN1B,FBXO33,MIF	 	
mir-451	 	microrna	Activated	2.646	8.70E-03	ABI1,ETS2,PGM1,PPP6C,RAB14,TLK2,ZNF148	 	
mir-26	 	microrna	Activated	2.283	1.20E-02	CCND2,CCNE1,EZH2,MAP3K2,PHF6,PTEN,PTGS2,SMAD1	 	
miR-101-3p (and other miRNAs w/seed ACAGUAC)	 	mature microrna	Activated	2.199	4.13E-02	ATM,EZH2,PRKDC,PTGS2,RNF2	 	
let-7	 	microrna	Activated	5.860	3.28E-04	AGO3,AURKA,BMPR1A,BRCA1,BRCA2,BTG2,CASP3,CCNA2,CCNE2,CCR7,CDC16,CDC20,CDC23,CDC45,CDCA2,CDCA7,CDT1,DBF4,DICER1,E2F2,EZH2,IL10,IRS2,ITGA1,KRAS,LEF1,MCM3,MCM4,NRAS,NXT2,ORC1,PBX2,PDE12,PTGS2,RCAN1,RFC4,RFC5,RIOX2,RRM1,RRM2,SSR1,STAT3,TAB2,TGFBR1,THBS1,TRIB1,ZFP36	 	
miR-122-5p (miRNAs w/seed GGAGUGU)	 	mature microrna	Activated	3.661	1.73E-03	ADAM17,ALDOA,AP3M2,BCL2L2,CERS6,CS,DSTYK,DUSP2,EEF1A1,FOXJ3,FUBP1,FUNDC2,G6PC3,MECP2,NFATC2IP,PRDX2,RABIF,SLC35A4,SLC7A1,SLC7A11,TMED3,TMEM50B,TRIB1	 	
mir-122	 	microrna	Activated	4.674	2.07E-02	ALDOA,ARHGAP1,BCAT2,BCL2L2,CREB1,CS,FOSL2,FUT8,G6PD,GNPDA2,GNPNAT1,LAMC1,MAP1B,MAP3K12,MAPRE1,PLIN3,PPP2CA,SEMA4D,SEPT2,SERPINB6,SLC7A1,TNPO2,VPS4A,VPS4B,WARS	 	
miR-133a-3p (and other miRNAs w/seed UUGGUCC)	 	mature microrna	Activated	2.899	1.07E-02	AK2,ARL3,ATP6AP2,BCL2L2,CERS2,CMTM6,CPNE3,ELAVL1,FSCN1,LASP1,LPGAT1,MALAT1,PITPNB,RHOA,STK3,UBXN7,YES1	 	
miR-30c-5p (and other miRNAs w/seed GUAAACA)	 	mature microrna	Activated	5.415	1.83E-03	ADPGK,BCL6,CNOT9,ELMOD2,GALNT1,GPD2,IFRD1,IRS2,LTN1,MAT2A,MPDU1,NAPG,NCEH1,NT5C3A,NT5E,NUFIP2,PAFAH1B2,PGM1,PPP3R1,PRPF40A,SEC23A,SLC12A4,SLC38A2,SLC7A1,SLC7A11,STRN,STX1A,STX7,TMED2,TMED3,TMED7,TMEM87A,UAP1,UBE2I	 	
miR-125b-5p (and other miRNAs w/seed CCCUGAG)	 	mature microrna	Activated	4.573	3.94E-02	ACSS1,ADAMTS1,ANAPC16,ARID3B,CASP7,CCNA2,CCR5,CEBPG,DICER1,DUS1L,E2F3,ELAVL1,GPR160,H3F3A/H3F3B,HK2,IKZF4,JARID2,LIPA,MAP2K1,PERP,PIGR,PPT2,TOR2A,UBE2I,VPS4B	 	
miR-21-5p (and other miRNAs w/seed AGCUUAU)	 	mature microrna	Activated	3.255	2.27E-02	APAF1,BMPR2,BTG2,C8orf44-SGK3/SGK3,CD69,CDKN1A,FAM3C,FASLG,GLCCI1,IFNG,MSH2,PELI1,PIK3R1,PTEN,RP2,SESN1,SLC16A10,STAT3	 	
mir-21	 	microrna	Activated	7.098	1.41E-05	ARCN1,ARL6IP1,ASPM,BTG2,CANX,CARD6,CCNA2,CD180,CD274,CDKN1A,CSNK2A2,DDIAS,DLGAP5,ECT2,FAM3C,FASLG,FCGR2A,FUBP1,GAS5,GATA3,GBP3,GBP7,GGA3,GTSE1,ICOSLG/LOC102723996,IFI16,Ifi47,IFNG,Iigp1,IL12RB2,IPO11,IRGM,Irgm1,ITK,KIF23,KIF4A,KIFC1,MSH2,NCAPD2,NIFK,NME1,NUSAP1,PER3,POLR2F,PPP2R5E,PPP4R2,PPP4R3B,PRC1,PTEN,RFWD2,RHOB,SEPT2,SESN1,SIGLEC1,SLAMF1,Slfn2,SMC2,SOCS6,SSR1,STAT2,STAT3,STRAP,TBC1D1,TBX21,TERT,TGFB1,Tgtp1/Tgtp2,TLR1,TNFRSF9,TP53RK,TRIM37,TRMT10C,UBA7,UBE2G1,UBE2L6,VRK1,ZW10	887 (12)	
miR-503-5p (miRNAs w/seed AGCAGCG)	 	mature microrna	Activated	2.449	4.90E-02	ATF6,CCNE1,CCNE2,CDC14A,CDKN1A,WEE1	 	
miR-92a-3p (and other miRNAs w/seed AUUGCAC)	 	mature microrna	Activated	3.375	3.18E-03	BCL2L11,BMPR2,CCND2,CCNE1,CCNE2,CDK7,CDKN1A,MAP2K4,MAPRE1,MYLIP,OSBPL2,PTEN	 	
mir-144	 	microrna	Activated	2.828	1.73E-02	ABI1,ADAM10,ETS2,PGM1,PPP6C,RAB14,TLK2,ZNF148	 	
miR-1-3p (and other miRNAs w/seed GGAAUGU)	 	mature microrna	Activated	7.224	2.17E-05	ADPGK,ANKIB1,ARCN1,ARF4,ASH2L,ATP6V1B2,BRI3BP,C12orf49,Calm1 (includes others),CAP1,CERS2,COIL,CPOX,DNAJB1,EHMT1,G6PD,GCFC2,GCH1,GNPDA2,GNPNAT1,GOLGA7,GPD2,H3F3A/H3F3B,HACD2,HIST1H3I,IFT52,KIF2A,KLHL42,LARP4,LASP1,LIN7C,LRP1,MOV10,MTX1,NRP1,PGM2,PIM1,PLEKHB2,POGK,POLA1,POLA2,PWP1,PXYLP1,RAB11FIP2,RABGAP1L,SFXN1,SLC25A22,SLC25A30,SNX6,TAGLN2,THBS1,Tmsb4x (includes others),TPM3,TRAPPC3,TRIM2,UHMK1,UHRF1,UNC93B1,UST,WDFY1,WDR11	 	
let-7a-5p (and other miRNAs w/seed GAGGUAG)	 	mature microrna	Activated	6.525	1.91E-03	AARSD1,ACP1,ANAPC1,BCL7A,BMP2K,CARHSP1,CASP3,CCND2,CCNE1,CDK7,CDKAL1,CHMP2A,COIL,DHX57,DICER1,DOCK5,FAM105A,FNDC3A,HMOX1,HYOU1,IFRD1,ITGA1,KRAS,MTRR,NRAS,NXN,PGRMC1,POLD2,POLR2C,PTGS2,RABGAP1L,RHOB,RRP8,RTCA,SLC25A32,SPCS3,STAT3,TAF9B,TGFBR1,THBS1,TMEM2,TRMT1,TTC9C,UHRF1	 	
