© 2000-2018 QIAGEN. All rights reserved.

Categories	Diseases or Functions Annotation	p-Value	Predicted Activation State	Activation z-score	Flags	Molecules	# Molecules
Cell Death and Survival	Cell viability of mononuclear leukocytes	1.72E-05	Decreased	-2.567	bias	BLNK,C3,CACNB3,CD19,CD40,CD79A,CD80,CD8A,CTLA4,EBF1,EGR3,FCGR3A/FCGR3B,FCMR,GAB2,IFNG,IL15,IL17C,ITPKB,MYBL2,NFIL3,PAX5,PLXNB1,POU2AF1,PTK2,TNF,TNFSF13B	26
Cell Death and Survival	Cell viability of lymphatic system cells	3.90E-05	Decreased	-2.553	bias	BLNK,C3,CACNB3,CD19,CD40,CD79A,CD80,CD8A,CTLA4,EBF1,EGR3,FANCA,FCGR3A/FCGR3B,FCMR,IFNG,IL15,IL17C,ITPKB,MYBL2,NFIL3,PAX5,PLXNB1,POU2AF1,PTK2,TNF,TNFSF13B	26
Hematological System Development and Function, Tissue Morphology	Quantity of mononuclear leukocytes	3.21E-14	Decreased	-2.535	bias	Abcb1b,ABCG2,ADA,AFF1,AHR,ANPEP,BANK1,BATF3,BCL11A,BHLHE40,Bhlhe41,BLK,BLNK,C1orf159,C3,CCR3,CD19,Cd24a,CD274,CD40,CD5L,CD69,CD79A,CD80,CD81,CD8A,CDH17,CDKN2A,CENPX,CHST3,CIITA,COL10A1,CR2,CSF2RB,CSF3R,CTLA4,CXCR4,DUSP5,E2F6,EBF1,EGR1,EGR3,ERBB2,ESR1,ETS2,FCMR,FES,FOS,FOSB,GADD45B,GCNT2,GPR83,HLA-A,ID3,IFNG,Ifnz (includes others),IGF1R,IL13RA1,IL15,IL18,IL4R,ITGAD,ITK,ITPKB,JCHAIN,KL,KLF4,Klra7 (includes others),LILRB3,LRRC32,MARCH1,MMP9,MYBL2,NFIL3,NOTCH4,NR4A1,PAX5,PLA2G2D,POU2AF1,PPARG,PRNP,RASGRP3,RGS1,S1PR3,S1PR5,SIGLEC10,SLAMF6,SLFN12L,SNCA,SOCS3,TIMD4,TNF,TNFAIP3,TNFRSF25,TNFRSF8,TNFSF13B,TNFSF18,TNFSF4,TSPAN33,VEGFA	100
Hematological System Development and Function, Tissue Morphology	Quantity of myeloid cells	1.47E-06	Decreased	-2.503	 	ADA,AHR,ATF3,Bhlhe41,C3,C6,CCR3,CD19,CD200,Cd24a,CD40,CD8A,CFP,CHST3,CR2,CSF2RB,CSF3R,CXCR4,DUSP1,DUSP5,FANCA,FES,GAB2,IFNG,IL13RA1,IL15,IL18,IL4R,IRAK3,IRF6,ITGA3,ITGAD,LILRB3,MMP9,MYBL2,NDST2,Pde4d,PILRA,PLA2G2D,PLCE1,PPARG,PTK2,S1PR5,SIGLEC9,SLFN12L,SLPI,SNCA,SOCS3,TIMP2,TNF,TNFAIP3,TNFRSF25,TSPAN33,VEGFA,ZFP36L2	55
Hematological System Development and Function, Lymphoid Tissue Structure and Development, Tissue Morphology	Quantity of lymphocytes	1.69E-12	Decreased	-2.463	bias	Abcb1b,ABCG2,ADA,AFF1,AHR,ANPEP,BANK1,BATF3,BCL11A,BHLHE40,Bhlhe41,BLK,BLNK,C1orf159,C3,CD19,Cd24a,CD274,CD40,CD5L,CD69,CD79A,CD80,CD81,CD8A,CDH17,CDKN2A,CHST3,CIITA,COL10A1,CR2,CSF2RB,CTLA4,CXCR4,DUSP5,E2F6,EBF1,EGR1,EGR3,ERBB2,ESR1,ETS2,FCMR,FES,FOS,FOSB,GADD45B,GCNT2,GPR83,HLA-A,ID3,IFNG,Ifnz (includes others),IGF1R,IL13RA1,IL15,IL18,IL4R,ITGAD,ITK,ITPKB,JCHAIN,KL,KLF4,Klra7 (includes others),LILRB3,LRRC32,MARCH1,MMP9,MYBL2,NFIL3,NOTCH4,NR4A1,PAX5,PLA2G2D,POU2AF1,PPARG,PRNP,RASGRP3,RGS1,S1PR3,SIGLEC10,SLAMF6,SOCS3,TIMD4,TNF,TNFAIP3,TNFRSF25,TNFRSF8,TNFSF13B,TNFSF18,TNFSF4,VEGFA	93
Hematological System Development and Function, Lymphoid Tissue Structure and Development, Tissue Morphology	Quantity of T lymphocytes	3.85E-10	Decreased	-2.461	bias	Abcb1b,ABCG2,ADA,AFF1,AHR,ANPEP,BATF3,BCL11A,BHLHE40,C1orf159,CD19,CD274,CD40,CD5L,CD69,CD79A,CD80,CD8A,CDKN2A,CHST3,CIITA,COL10A1,CSF2RB,CTLA4,CXCR4,DUSP5,E2F6,EGR3,ERBB2,ESR1,ETS2,FCMR,FOS,FOSB,GADD45B,GPR83,HLA-A,ID3,IFNG,IGF1R,IL13RA1,IL15,IL18,IL4R,ITGAD,ITK,ITPKB,KLF4,LRRC32,MARCH1,MMP9,MYBL2,NFIL3,NOTCH4,NR4A1,PLA2G2D,POU2AF1,PPARG,PRNP,SIGLEC10,SLAMF6,SOCS3,TNF,TNFAIP3,TNFRSF25,TNFRSF8,TNFSF13B,TNFSF18,TNFSF4,VEGFA	70
Cellular Growth and Proliferation, Hematological System Development and Function, Lymphoid Tissue Structure and Development, Organ Development, Tissue Development	Proliferation of lymph node cells	3.03E-05	Decreased	-2.433	 	CD80,CD8A,CTLA4,IFNG,IL15,IL18	6
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking	Cell movement of mononuclear leukocytes	7.00E-09	Decreased	-2.433	bias	Abcb1b,AIF1,ANXA1,C3,C6,CALCB,CCR3,CCR8,CD19,CD274,CD40,CD69,CD80,CD81,CD8A,CEACAM1,CIITA,CTLA4,CXCR4,ENPP2,ERBB2,ESR1,FOS,GNAO1,GPR15,HEBP1,HLA-A,IFNG,IL15,IL17C,IL18,IRF6,ITGA3,ITK,MCAM,MMP9,NFIL3,NFKBIZ,NOTCH4,NR1H3,NR4A1,PENK,PLA2G7,PLCE1,POU2AF1,PPARG,PRNP,RGS1,S1PR3,S1PR5,SEMA3E,SERPINF1,SOCS3,TIMP2,TNF,TNFRSF8,TNFSF13B,TNFSF18,TNFSF4,VEGFA,VIPR1	61
Cellular Development, Connective Tissue Development and Function	Adipogenesis of cells	4.28E-06	Decreased	-2.411	 	AHR,BHLHE40,C3,CBY1,EBF1,FOSB,HSPA5,KLF6,LIPE,NFIL3,NR4A1,NR4A2,NR4A3,PPARG,SCD,SERPINF1,TGFB1I1,TNF,Zfp54	19
Cell Death and Survival, Hematological System Development and Function	Cell viability of lymphocytes	2.23E-05	Decreased	-2.402	bias	BLNK,C3,CACNB3,CD19,CD40,CD79A,CD80,CD8A,CTLA4,EBF1,EGR3,FCGR3A/FCGR3B,FCMR,IFNG,IL15,IL17C,ITPKB,MYBL2,NFIL3,PAX5,PLXNB1,POU2AF1,PTK2,TNF,TNFSF13B	25
Cellular Development, Cellular Growth and Proliferation, Embryonic Development, Hematological System Development and Function, Hematopoiesis, Humoral Immune Response, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development, Tissue Development	Development of B lymphocytes	1.79E-07	Decreased	-2.386	bias	ADA,AFF1,BLK,BLNK,C3,CD19,Cd24a,CD40,CD69,CD79A,CD80,CR2,CXCR4,EBF1,FOS,ID3,IFNG,Ifnz (includes others),IL18,ITPKB,PAX5,POU2AF1,PPARG,TNFSF13B	24
Inflammatory Response	Immune response of cells	3.37E-06	Decreased	-2.346	bias	Abcb1b,AHR,ANPEP,ANXA1,BATF3,BHLHE40,C3,CD19,CD200,CD274,CD40,CD69,CD79A,CD80,CD8A,CDKN2A,CEACAM1,CLEC9A,CSF2RB,CSF3R,CTLA4,DYSF,ERBB2,ETS2,FCGR3A/FCGR3B,FCMR,GAB2,GP1BA,HLA-A,HSP90AA1,HSPA8,IFNG,IL15,IL17C,IL18,ITK,KL,KLK3,LILRB3,LY96,MARCH1,MARCO,MLST8,NAMPT,NFIL3,NR4A2,PLA2G4A,PPARG,PRKCG,PRNP,PTK2,RSPH1,SERPINB9,SLC11A1,SNCA,SOCS3,STAB2,TIMD4,TLR8,TNF,TNFSF4,VEGFA	62
Cell Death and Survival	Cell death of immune cells	2.75E-11	Decreased	-2.326	 	ADA,AHR,ANPEP,ANXA1,ATF3,BCL11A,BLK,BLNK,C3,CACNB3,CCR8,CD19,Cd24a,CD274,CD40,CD5L,CD69,CD79A,CD80,CD81,CD8A,CDKN2A,CIITA,CR2,CSF2RB,CTLA4,CXCR4,DUSP5,EBF1,EGR1,EGR3,ERBB2,ESR1,ETS2,FCGR3A/FCGR3B,FCMR,FOS,GAB2,GADD45B,GGT1,GP2,HSPA5,ID3,IFNG,Ifnz (includes others),IL15,IL17C,IL18,IRAK3,IRS1,IRS2,ITK,ITPKB,KLF4,Klra7 (includes others),LGALS4,MYBL2,MZB1,NAMPT,NFIL3,NFKBID,NLRC4,NR4A1,NR4A3,PAX5,PLA2G4A,PLCE1,PLXNB1,POU2AF1,PPARG,PTK2,SERPINB9,SERPINF1,SIGLEC9,SKIL,SLC7A11,SLPI,TNF,TNFAIP3,TNFRSF25,TNFRSF8,TNFSF13B,VEGFA	83
Inflammatory Response	Antibody response	6.36E-06	Decreased	-2.213	bias	BLNK,C3,CD19,CD40,CD69,CD80,CLEC9A,CR2,CTLA4,DOK3,ERBB2,FCGRT,FCRLA,IFNG,JCHAIN,MZB1,PAX5,POU2AF1,PPARG,RASGRP3,Tlr11,TNF,TNFSF13B	23
Cell Death and Survival	Cell viability of blood cells	1.80E-06	Decreased	-2.201	bias	BLNK,C3,CACNB3,CD19,CD40,CD79A,CD80,CD81,CD8A,CSF2RB,CTLA4,CXCR4,EBF1,EGR3,ERBB2,FANCA,FCGR3A/FCGR3B,FCMR,GAB2,GADD45B,HBB,IFNG,IL15,IL17C,IL18,ITPKB,MYBL2,NFIL3,PAX5,PLXNB1,POU2AF1,PTK2,SERPINB9,TNF,TNFRSF8,TNFSF13B,VEGFA	37
Cellular Movement, Immune Cell Trafficking	Leukocyte migration	1.35E-09	Decreased	-2.198	bias	Abcb1b,ADA,AHR,AIF1,ANXA1,C3,C6,CALCB,CCDC88A,CCR3,CCR8,CD19,CD200,CD274,CD40,CD5L,CD69,CD80,CD81,CD8A,CDH1,CEACAM1,CIITA,CLEC1B,CR2,CSF2RB,CSF3R,CTLA4,CXCR4,DUSP1,Ear2 (includes others),EGR1,ENPP2,ERBB2,ESR1,FCGR3A/FCGR3B,FOS,GAB2,GNAO1,GP1BA,GPR15,HEBP1,HLA-A,HSPA1A/HSPA1B,IFNG,IL15,IL17C,IL18,IL4R,IRF6,ITGA2B,ITGA3,ITGAD,ITK,KDM6B,KLF6,LCAT,LILRB3,LY96,MARCO,MCAM,MMP9,NFIL3,NFKBIZ,NLRC4,NOTCH4,NR1H3,NR4A1,Pde4d,PENK,PER1,PLA2G4A,PLA2G7,PLCE1,POU2AF1,PPARG,PPP1R15A,PRNP,PTK2,RGS1,RPL13A,S1PR3,S1PR5,SEMA3E,SERPINF1,SGPP2,SIGLEC9,SLFN12L,SLPI,SOCS3,TFPI,TIMP2,TNF,TNFAIP3,TNFRSF8,TNFSF13B,TNFSF18,TNFSF4,VCAN,VEGFA,VIPR1	101
Hematological System Development and Function, Tissue Morphology	Quantity of granulocytes	1.86E-06	Decreased	-2.193	 	ADA,AHR,Bhlhe41,C3,C6,CCR3,CD19,CD40,CD8A,CFP,CHST3,CR2,CSF2RB,CSF3R,DUSP1,DUSP5,FES,IFNG,IL13RA1,IL15,IL18,IL4R,IRAK3,IRF6,ITGA3,MMP9,Pde4d,PILRA,PLCE1,PPARG,PTK2,SLFN12L,SLPI,SOCS3,TIMP2,TNF,TNFAIP3,TNFRSF25,TSPAN33,ZFP36L2	40
Cellular Movement	Cell movement	3.54E-09	Decreased	-2.172	bias	Abcb1b,ACTN1,ACVR1,ADA,Adam1a,ADGRA2,AHR,AIF1,AMD1,ANPEP,ANXA1,ARHGAP22,ATF3,BCAR3,BCAT1,BHLHE40,C3,C6,C8orf44-SGK3/SGK3,CACNA1E,CALCB,CCDC141,CCDC88A,CCR3,CCR8,CD19,CD200,Cd24a,CD274,CD40,CD5L,CD69,CD80,CD81,CD8A,CDH1,CDK14,CDKL5,CDKN2A,CEACAM1,CHAD,CHRM3,CHRM4,CIITA,CLEC1B,CR2,CSF2RB,CSF3R,CTLA4,CXCR4,DNAAF4,DPAGT1,DPCD,DSG2,DSP,DUSP1,DUSP5,Ear2 (includes others),EBF1,EGR1,EGR3,EHF,ELP6,ENPP2,EPB41L5,EPHA1,ERBB2,ESR1,F2RL3,FAM83H,FCGR3A/FCGR3B,FES,FOS,FOSB,FOSL2,FSCN1,GAB2,GCNT2,GCSAM,GNAO1,GP1BA,GPR15,GUCY1A3,HEBP1,HEXIM1,HHEX,HLA-A,HSP90AA1,HSPA1A/HSPA1B,HSPA5,HSPA8,HTATIP2,ID3,IFNG,Ifnz (includes others),IFT88,IGF1R,IL15,IL17C,IL18,IL4R,INPP4B,IRF6,IRS1,IRS2,ITGA2B,ITGA3,ITGAD,ITK,JAG1,JUNB,KDM6B,KL,KLF4,KLF6,KLK3,Klra7 (includes others),LCAT,LILRB3,LIMA1,LIPE,LY96,MAGI1,MARCO,MATN2,MCAM,MCTP1,MEN1,MMP9,NAMPT,NCKIPSD,NEU3,NFIL3,NFIX,NFKBIZ,NLRC4,NOTCH4,NR1H3,NR4A1,NR4A2,NSUN7,NUCB2,PALLD,PARVA,PAX5,Pde4d,PENK,PER1,PEX11B,PLA2G4A,PLA2G7,PLCE1,PLCL1,PLXNB1,POU2AF1,PPARG,PPP1R15A,PRKCG,PRNP,PTK2,PTPN14,PTPRM,RAP2B,RASGRP3,RGS1,RPL13A,RPSA,S1PR3,S1PR5,SELENBP1,SEMA3E,SERPIND1,SERPINF1,SGPP2,SIGLEC9,SKAP2,SKIL,SLC11A1,SLC3A2,SLFN12L,SLPI,SNCA,SOCS3,SORBS3,STAB2,STON1,TDO2,TFPI,TGFB1I1,TIMP2,TJP1,TNF,TNFAIP3,TNFRSF25,TNFRSF8,TNFSF13B,TNFSF18,TNFSF4,TNS2,TUBB2B,UNC13B,VCAN,VEGFA,VIPR1,WDPCP,WWC1	206
Hematological System Development and Function, Inflammatory Response, Tissue Morphology	Quantity of neutrophils	6.93E-06	Decreased	-2.161	 	ADA,AHR,Bhlhe41,C3,C6,CD19,CD40,CHST3,CR2,CSF3R,FES,IFNG,IL15,IL18,IL4R,IRAK3,IRF6,ITGA3,MMP9,Pde4d,PILRA,PLCE1,PPARG,SLFN12L,SLPI,SOCS3,TIMP2,TNF,TNFAIP3,ZFP36L2	30
Cell-To-Cell Signaling and Interaction, Inflammatory Response	Immune response of leukocytes	9.22E-05	Decreased	-2.124	bias	ANPEP,ANXA1,BATF3,BHLHE40,C3,CD274,CD40,CD69,CD79A,CD80,CD8A,CLEC9A,CSF2RB,CTLA4,FCGR3A/FCGR3B,FCMR,GAB2,HSP90AA1,IFNG,IL15,IL18,ITK,KLK3,LILRB3,LY96,MARCH1,MARCO,NAMPT,PPARG,SERPINB9,SOCS3,TIMD4,TLR8,TNF,TNFSF4	35
Cell Death and Survival	Cell death of blood cells	5.07E-11	Decreased	-2.086	 	ADA,AHR,ANPEP,ANXA1,ATF3,BCL11A,BCL2L2,BLK,BLNK,C3,CACNB3,CCR8,CD19,Cd24a,CD274,CD40,CD5L,CD69,CD79A,CD80,CD81,CD8A,CDKN2A,CIITA,CR2,CSF2RB,CTLA4,CXCR4,DUSP5,EBF1,EGR1,EGR3,ERBB2,ESR1,ETS2,FCGR3A/FCGR3B,FCMR,FOS,GAB2,GADD45B,GGT1,GP2,HSPA5,ID3,IFNG,Ifnz (includes others),IL15,IL17C,IL18,IRAK3,IRS1,IRS2,ITK,ITPKB,KL,KLF4,Klra7 (includes others),LGALS4,MYBL2,MZB1,NAMPT,NFIL3,NFKBID,NLRC4,NR4A1,NR4A3,PALLD,PAX5,PLA2G4A,PLCE1,PLXNB1,POU2AF1,PPARG,PTK2,SERPINB9,SERPINF1,SIGLEC9,SKIL,SLC7A11,SLPI,TNF,TNFAIP3,TNFRSF25,TNFRSF8,TNFSF13B,VEGFA	86
